"Plot Title: 1283027 "
"#","Time, GMT-06:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,05/27/14 09:18:18.413 AM,20.27,Logged,,,
2,05/27/14 09:18:19.413 AM,19.93,,,,
3,05/27/14 09:18:20.413 AM,19.93,,,,
4,05/27/14 09:18:21.413 AM,19.93,,,,
5,05/27/14 09:18:22.413 AM,19.93,,,,
6,05/27/14 09:18:23.413 AM,19.93,,,,
7,05/27/14 09:18:24.413 AM,19.93,,,,
8,05/27/14 09:18:25.413 AM,19.60,,,,
9,05/27/14 09:18:26.413 AM,19.93,,,,
10,05/27/14 09:18:27.413 AM,19.93,,,,
11,05/27/14 09:18:28.413 AM,19.93,,,,
12,05/27/14 09:18:29.413 AM,19.93,,,,
13,05/27/14 09:18:30.413 AM,19.93,,,,
14,05/27/14 09:18:31.413 AM,19.93,,,,
15,05/27/14 09:18:32.413 AM,19.93,,,,
16,05/27/14 09:18:33.413 AM,19.93,,,,
17,05/27/14 09:18:34.413 AM,19.93,,,,
18,05/27/14 09:18:35.413 AM,19.60,,,,
19,05/27/14 09:18:36.413 AM,19.93,,,,
20,05/27/14 09:18:37.413 AM,19.93,,,,
21,05/27/14 09:18:38.413 AM,19.93,,,,
22,05/27/14 09:18:39.413 AM,19.93,,,,
23,05/27/14 09:18:40.413 AM,19.60,,,,
24,05/27/14 09:18:41.413 AM,19.93,,,,
25,05/27/14 09:18:42.413 AM,19.93,,,,
26,05/27/14 09:18:43.413 AM,19.93,,,,
27,05/27/14 09:18:44.413 AM,19.93,,,,
28,05/27/14 09:18:45.413 AM,19.60,,,,
29,05/27/14 09:18:46.413 AM,19.93,,,,
30,05/27/14 09:18:47.413 AM,19.93,,,,
31,05/27/14 09:18:48.413 AM,19.93,,,,
32,05/27/14 09:18:49.413 AM,19.93,,,,
33,05/27/14 09:18:50.413 AM,19.93,,,,
34,05/27/14 09:18:51.413 AM,19.93,,,,
35,05/27/14 09:18:52.413 AM,19.93,,,,
36,05/27/14 09:18:53.413 AM,19.93,,,,
37,05/27/14 09:18:54.413 AM,19.93,,,,
38,05/27/14 09:18:55.413 AM,19.93,,,,
39,05/27/14 09:18:56.413 AM,19.93,,,,
40,05/27/14 09:18:57.413 AM,19.93,,,,
41,05/27/14 09:18:58.413 AM,19.93,,,,
42,05/27/14 09:18:59.413 AM,19.93,,,,
43,05/27/14 09:19:00.413 AM,19.93,,,,
44,05/27/14 09:19:01.413 AM,19.93,,,,
45,05/27/14 09:19:02.413 AM,19.93,,,,
46,05/27/14 09:19:03.413 AM,20.27,,,,
47,05/27/14 09:19:04.413 AM,19.93,,,,
48,05/27/14 09:19:05.413 AM,20.27,,,,
49,05/27/14 09:19:06.413 AM,20.27,,,,
50,05/27/14 09:19:07.413 AM,19.93,,,,
51,05/27/14 09:19:08.413 AM,20.27,,,,
52,05/27/14 09:19:09.413 AM,20.27,,,,
53,05/27/14 09:19:10.413 AM,20.27,,,,
54,05/27/14 09:19:11.413 AM,20.27,,,,
55,05/27/14 09:19:12.413 AM,19.93,,,,
56,05/27/14 09:19:13.413 AM,20.27,,,,
57,05/27/14 09:19:14.413 AM,20.27,,,,
58,05/27/14 09:19:15.413 AM,20.27,,,,
59,05/27/14 09:19:16.413 AM,20.27,,,,
60,05/27/14 09:19:17.413 AM,20.27,,,,
61,05/27/14 09:19:18.413 AM,20.27,,,,
62,05/27/14 09:19:19.413 AM,20.27,,,,
63,05/27/14 09:19:20.413 AM,20.27,,,,
64,05/27/14 09:19:21.413 AM,20.27,,,,
65,05/27/14 09:19:22.413 AM,20.27,,,,
66,05/27/14 09:19:23.413 AM,20.27,,,,
67,05/27/14 09:19:24.413 AM,20.27,,,,
68,05/27/14 09:19:25.413 AM,20.27,,,,
69,05/27/14 09:19:26.413 AM,20.27,,,,
70,05/27/14 09:19:27.413 AM,20.27,,,,
71,05/27/14 09:19:28.413 AM,20.27,,,,
72,05/27/14 09:19:29.413 AM,20.27,,,,
73,05/27/14 09:19:30.413 AM,19.93,,,,
