name,group,flash_point,abco 1,abco 2,abco 3,abco 4,abma 1,abma 2,abma 3,abma 4,cade 1,cade 2,cade 3,cade 4,pije 1,pije 2,pije 3,pije 4,pila 1,pila 2,pila 3,pila 4,pipo 1,pipo 2,pipo 3,pipo 4,quke 1,quke 2,quke 3,quke 4,segi 1,segi 2,segi 3,segi 4
3-carene,bicyclic monoterpene,46,2.42,,,1.64,,,,,8.4,3.96,4.48,5.06,,1.86,,,,,,,,1.5,,,,,,,28.24,8.66,,
a-pinene,monoterpene,33,5.64,16.37,17.73,4.38,22.04,1.41,,18.13,5.96,1.4,1.86,1.27,5.78,8.21,4.99,20.25,,,,,4.19,3.59,,,,,,,,,5.33,79.91
b-pinene,monoterpene,36,,,,,,5.65,9.95,,2.72,,,,,,,,,,,,,,,,,,,,,,,
b-Myrcene,monoterpene,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,3.18,,
a-Phellandrene,cyclic monoterpene,47.2,7.53,11.68,15.61,8.86,32.02,11.49,23.79,33.15,,,,,,,,,,,,,,,,,,,,,,,,
D-Limonene,cyclic monoterpene,50,,,,,,,,,13.13,9.77,13.75,33.12,,,,,,,,,,,,,,,,,7.5,,,
c-Terpinene,cyclic monoterpene,100,,,,,,,,,0.6,0.79,,,,,,,,,,,,,,,,,,,,,,
2-Carene,bicyclic monoterpene,38,,0.69,,,,,,,5.06,,,,,,,,,,,,,,,,,,,,1.69,,,
Terpinolene,cyclic monoterpene,100,,,,,,,,,2.32,6.43,6.05,4.25,,,,,,,,,,,,,,,,,,,,
Pinocarvone,bicyclic monoterpene,85,,0.98,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,,,
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,,,,,,,,,16.93,21.23,16.9,,,,,,,,,,,,,,,,,,,,,
Crypton ,Ketone,87.2,,1.31,1.52,0.47,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,
