variable,type ,units,description
name,string,,name of volatile compound
group_more,string,,group of volatile compound more descriminated
group_less,string,,group of volatile compound less descriminated
terpene,factor,,1 or 0 depending on whether it is a terpene or not
flash_point,numeric,C,temperature at which volatile ignites
spcode/area,numeric,no units,area of spectrum ocupied by the compound; abundance
