name,group,flash_point,spcode,replicate,%area
a-bergamotene,sesquiterpene,100.6,cade,1,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,cade,1,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,cade,1,NA
(-)-Aristolene,sesquiterpene,99.9,cade,1,NA
Longifolene-(V4),sesquiterpene,95.6,cade,1,1.76
Humulene,sesquiterpene,110.2,cade,1,1.74
c-Muurolene,sesquiterpene,106.5,cade,1,NA
Germacrene D,sesquiterpene,111.9,cade,1,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,cade,1,NA
a-selinene,sesquiterpene,102,cade,1,NA
a-cuparene,benzene,113.3,cade,1,0.93
cis-5-Dodecenoic acid,fatty acid,207.6,cade,1,1.50
2-Hydroxycyclopentadecanone,NA,162.8,cade,1,NA
Dodecanoic acid,fatty acid,165,cade,1,NA
Hedycaryol,terpenoid,110.9,cade,1,NA
(-)-Spathulenol,sesquiterpenoid,123.9,cade,1,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,cade,1,4.08
b-eudesmol,terpene alcohol,108.6,cade,1,NA
Z-11-Tetradecenoic acid,NA,235.3,cade,1,NA
Z-11-Pentadecenol,NA,128.6,cade,1,NA
Hexahydrofarnesyl acetone,NA,95.1,cade,1,1.01
Geranyl-a-terpinene,NA,NA,cade,1,NA
Palmitoleic acid ,NA,239.2,cade,1,NA
Sclareol,labdane diterpenoid,169%,cade,1,NA
3-carene,bicyclic monoterpene,46,cade,2,3.96
a-pinene,monoterpene,33,cade,2,1.40
b-pinene,monoterpene,36,cade,2,NA
b-Myrcene,monoterpene,39.4,cade,2,NA
a-Phellandrene,cyclic monoterpene,47.2,cade,2,NA
D-Limonene,cyclic monoterpene,50,cade,2,9.77
c-Terpinene,cyclic monoterpene,100,cade,2,0.79
2-Carene,bicyclic monoterpene,38,cade,2,NA
Terpinolene,cyclic monoterpene,100,cade,2,6.43
Pinocarvone,bicyclic monoterpene,85,cade,2,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,cade,2,21.23
Crypton ,Ketone,87.2,cade,2,NA
Dodecanal,Fatty aldehyde,114,cade,2,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,cade,2,NA
Eucarvone,monocyclic monoterpenoid,90,cade,2,1.56
I-Verbenone,bicyclic ketone terpene,85,cade,2,NA
a-Citrylideneethanol,NA,104.5,cade,2,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,cade,2,1.53
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,cade,2,2.87
Phellandral,monocyclic terpene aldehyde,83.6,cade,2,NA
2-Undecanone,Ketone,88.9,cade,2,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,cade,2,NA
Terpinyl acetate,methane monoterpenoid,83,cade,2,10.69
delta-elemene,sesquiterpene,99.5,cade,2,NA
Ylangene,sesquiterpenoid,105.1,cade,2,NA
Copaene,sesquiterpenoid,105.1,cade,2,NA
Thujopsene,sesquiterpene,105.9,cade,2,2.96
cis-beta-elemene,sesquiterpene,98.3,cade,2,1.29
Caryophyllene,sesquiterpene,104.9,cade,2,1.03
a-bergamotene,sesquiterpene,100.6,cade,2,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,cade,2,0.43
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,cade,2,NA
(-)-Aristolene,sesquiterpene,99.9,cade,2,NA
Longifolene-(V4),sesquiterpene,95.6,cade,2,3.03
Humulene,sesquiterpene,110.2,cade,2,1.67
c-Muurolene,sesquiterpene,106.5,cade,2,NA
Germacrene D,sesquiterpene,111.9,cade,2,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,cade,2,NA
a-selinene,sesquiterpene,102,cade,2,NA
a-cuparene,benzene,113.3,cade,2,0.79
cis-5-Dodecenoic acid,fatty acid,207.6,cade,2,NA
2-Hydroxycyclopentadecanone,NA,162.8,cade,2,NA
Dodecanoic acid,fatty acid,165,cade,2,1.00
Hedycaryol,terpenoid,110.9,cade,2,NA
(-)-Spathulenol,sesquiterpenoid,123.9,cade,2,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,cade,2,NA
b-eudesmol,terpene alcohol,108.6,cade,2,NA
Z-11-Tetradecenoic acid,NA,235.3,cade,2,0.37
Z-11-Pentadecenol,NA,128.6,cade,2,NA
Hexahydrofarnesyl acetone,NA,95.1,cade,2,0.53
Geranyl-a-terpinene,NA,NA,cade,2,NA
Palmitoleic acid ,NA,239.2,cade,2,NA
Sclareol,labdane diterpenoid,169%,cade,2,NA
3-carene,bicyclic monoterpene,46,cade,3,4.48
a-pinene,monoterpene,33,cade,3,1.86
b-pinene,monoterpene,36,cade,3,NA
b-Myrcene,monoterpene,39.4,cade,3,NA
a-Phellandrene,cyclic monoterpene,47.2,cade,3,NA
D-Limonene,cyclic monoterpene,50,cade,3,13.75
c-Terpinene,cyclic monoterpene,100,cade,3,NA
2-Carene,bicyclic monoterpene,38,cade,3,NA
Terpinolene,cyclic monoterpene,100,cade,3,6.05
Pinocarvone,bicyclic monoterpene,85,cade,3,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,cade,3,16.90
Crypton ,Ketone,87.2,cade,3,NA
Dodecanal,Fatty aldehyde,114,cade,3,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,cade,3,NA
Eucarvone,monocyclic monoterpenoid,90,cade,3,1.34
I-Verbenone,bicyclic ketone terpene,85,cade,3,NA
a-Citrylideneethanol,NA,104.5,cade,3,9.96
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,cade,3,7.04
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,cade,3,NA
Phellandral,monocyclic terpene aldehyde,83.6,cade,3,NA
2-Undecanone,Ketone,88.9,cade,3,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,cade,3,13.15
Terpinyl acetate,methane monoterpenoid,83,cade,3,8.81
delta-elemene,sesquiterpene,99.5,cade,3,NA
Ylangene,sesquiterpenoid,105.1,cade,3,NA
Copaene,sesquiterpenoid,105.1,cade,3,NA
Thujopsene,sesquiterpene,105.9,cade,3,3.31
cis-beta-elemene,sesquiterpene,98.3,cade,3,NA
Caryophyllene,sesquiterpene,104.9,cade,3,NA
a-bergamotene,sesquiterpene,100.6,cade,3,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,cade,3,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,cade,3,NA
(-)-Aristolene,sesquiterpene,99.9,cade,3,NA
Longifolene-(V4),sesquiterpene,95.6,cade,3,8.16
Humulene,sesquiterpene,110.2,cade,3,NA
c-Muurolene,sesquiterpene,106.5,cade,3,NA
Germacrene D,sesquiterpene,111.9,cade,3,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,cade,3,NA
a-selinene,sesquiterpene,102,cade,3,NA
a-cuparene,benzene,113.3,cade,3,NA
cis-5-Dodecenoic acid,fatty acid,207.6,cade,3,NA
2-Hydroxycyclopentadecanone,NA,162.8,cade,3,NA
Dodecanoic acid,fatty acid,165,cade,3,NA
Hedycaryol,terpenoid,110.9,cade,3,NA
(-)-Spathulenol,sesquiterpenoid,123.9,cade,3,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,cade,3,NA
b-eudesmol,terpene alcohol,108.6,cade,3,NA
Z-11-Tetradecenoic acid,NA,235.3,cade,3,NA
Z-11-Pentadecenol,NA,128.6,cade,3,NA
Hexahydrofarnesyl acetone,NA,95.1,cade,3,0.73
Geranyl-a-terpinene,NA,NA,cade,3,NA
Palmitoleic acid ,NA,239.2,cade,3,NA
Sclareol,labdane diterpenoid,169%,cade,3,NA
3-carene,bicyclic monoterpene,46,cade,4,5.06
a-pinene,monoterpene,33,cade,4,1.27
b-pinene,monoterpene,36,cade,4,NA
b-Myrcene,monoterpene,39.4,cade,4,NA
a-Phellandrene,cyclic monoterpene,47.2,cade,4,NA
D-Limonene,cyclic monoterpene,50,cade,4,33.12
c-Terpinene,cyclic monoterpene,100,cade,4,NA
2-Carene,bicyclic monoterpene,38,cade,4,NA
Terpinolene,cyclic monoterpene,100,cade,4,4.25
Pinocarvone,bicyclic monoterpene,85,cade,4,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,cade,4,NA
Crypton ,Ketone,87.2,cade,4,NA
Dodecanal,Fatty aldehyde,114,cade,4,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,cade,4,NA
Eucarvone,monocyclic monoterpenoid,90,cade,4,NA
I-Verbenone,bicyclic ketone terpene,85,cade,4,NA
a-Citrylideneethanol,NA,104.5,cade,4,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,cade,4,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,cade,4,NA
Phellandral,monocyclic terpene aldehyde,83.6,cade,4,NA
2-Undecanone,Ketone,88.9,cade,4,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,cade,4,5.30
Terpinyl acetate,methane monoterpenoid,83,cade,4,6.75
delta-elemene,sesquiterpene,99.5,cade,4,NA
Ylangene,sesquiterpenoid,105.1,cade,4,NA
Copaene,sesquiterpenoid,105.1,cade,4,NA
Thujopsene,sesquiterpene,105.9,cade,4,NA
cis-beta-elemene,sesquiterpene,98.3,cade,4,NA
Caryophyllene,sesquiterpene,104.9,cade,4,NA
a-bergamotene,sesquiterpene,100.6,cade,4,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,cade,4,8.61
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,cade,4,NA
(-)-Aristolene,sesquiterpene,99.9,cade,4,NA
Longifolene-(V4),sesquiterpene,95.6,cade,4,NA
Humulene,sesquiterpene,110.2,cade,4,NA
c-Muurolene,sesquiterpene,106.5,cade,4,NA
Germacrene D,sesquiterpene,111.9,cade,4,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,cade,4,NA
a-selinene,sesquiterpene,102,cade,4,NA
a-cuparene,benzene,113.3,cade,4,NA
cis-5-Dodecenoic acid,fatty acid,207.6,cade,4,NA
2-Hydroxycyclopentadecanone,NA,162.8,cade,4,NA
Dodecanoic acid,fatty acid,165,cade,4,NA
Hedycaryol,terpenoid,110.9,cade,4,NA
(-)-Spathulenol,sesquiterpenoid,123.9,cade,4,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,cade,4,0.97
b-eudesmol,terpene alcohol,108.6,cade,4,NA
Z-11-Tetradecenoic acid,NA,235.3,cade,4,NA
Z-11-Pentadecenol,NA,128.6,cade,4,NA
Hexahydrofarnesyl acetone,NA,95.1,cade,4,1.19
Geranyl-a-terpinene,NA,NA,cade,4,NA
Palmitoleic acid ,NA,239.2,cade,4,NA
Sclareol,labdane diterpenoid,169%,cade,4,NA
3-carene,bicyclic monoterpene,46,pije,1,NA
a-pinene,monoterpene,33,pije,1,5.78
b-pinene,monoterpene,36,pije,1,NA
b-Myrcene,monoterpene,39.4,pije,1,NA
a-Phellandrene,cyclic monoterpene,47.2,pije,1,NA
D-Limonene,cyclic monoterpene,50,pije,1,NA
c-Terpinene,cyclic monoterpene,100,pije,1,NA
2-Carene,bicyclic monoterpene,38,pije,1,NA
Terpinolene,cyclic monoterpene,100,pije,1,NA
Pinocarvone,bicyclic monoterpene,85,pije,1,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pije,1,NA
Crypton ,Ketone,87.2,pije,1,NA
Dodecanal,Fatty aldehyde,114,pije,1,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pije,1,NA
Eucarvone,monocyclic monoterpenoid,90,pije,1,NA
I-Verbenone,bicyclic ketone terpene,85,pije,1,NA
a-Citrylideneethanol,NA,104.5,pije,1,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pije,1,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pije,1,NA
Phellandral,monocyclic terpene aldehyde,83.6,pije,1,NA
2-Undecanone,Ketone,88.9,pije,1,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pije,1,NA
Terpinyl acetate,methane monoterpenoid,83,pije,1,NA
delta-elemene,sesquiterpene,99.5,pije,1,NA
Ylangene,sesquiterpenoid,105.1,pije,1,NA
Copaene,sesquiterpenoid,105.1,pije,1,7.84
Thujopsene,sesquiterpene,105.9,pije,1,NA
cis-beta-elemene,sesquiterpene,98.3,pije,1,NA
Caryophyllene,sesquiterpene,104.9,pije,1,4.46
a-bergamotene,sesquiterpene,100.6,pije,1,3.13
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pije,1,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pije,1,NA
(-)-Aristolene,sesquiterpene,99.9,pije,1,NA
Longifolene-(V4),sesquiterpene,95.6,pije,1,5.36
Humulene,sesquiterpene,110.2,pije,1,2.46
c-Muurolene,sesquiterpene,106.5,pije,1,5.16
Germacrene D,sesquiterpene,111.9,pije,1,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pije,1,NA
a-selinene,sesquiterpene,102,pije,1,NA
a-cuparene,benzene,113.3,pije,1,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pije,1,NA
2-Hydroxycyclopentadecanone,NA,162.8,pije,1,NA
Dodecanoic acid,fatty acid,165,pije,1,15.18
Hedycaryol,terpenoid,110.9,pije,1,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pije,1,12.13
Caryophyllene oxide,epoxide sesquiterpene,119.7,pije,1,NA
b-eudesmol,terpene alcohol,108.6,pije,1,NA
Z-11-Tetradecenoic acid,NA,235.3,pije,1,NA
Z-11-Pentadecenol,NA,128.6,pije,1,8.05
Hexahydrofarnesyl acetone,NA,95.1,pije,1,12.38
Geranyl-a-terpinene,NA,NA,pije,1,NA
Palmitoleic acid ,NA,239.2,pije,1,NA
Sclareol,labdane diterpenoid,169%,pije,1,NA
3-carene,bicyclic monoterpene,46,pije,2,1.86
a-pinene,monoterpene,33,pije,2,8.21
b-pinene,monoterpene,36,pije,2,NA
b-Myrcene,monoterpene,39.4,pije,2,NA
a-Phellandrene,cyclic monoterpene,47.2,pije,2,NA
D-Limonene,cyclic monoterpene,50,pije,2,NA
c-Terpinene,cyclic monoterpene,100,pije,2,NA
2-Carene,bicyclic monoterpene,38,pije,2,NA
Terpinolene,cyclic monoterpene,100,pije,2,NA
Pinocarvone,bicyclic monoterpene,85,pije,2,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pije,2,NA
Crypton ,Ketone,87.2,pije,2,NA
Dodecanal,Fatty aldehyde,114,pije,2,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pije,2,NA
Eucarvone,monocyclic monoterpenoid,90,pije,2,NA
I-Verbenone,bicyclic ketone terpene,85,pije,2,NA
a-Citrylideneethanol,NA,104.5,pije,2,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pije,2,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pije,2,NA
Phellandral,monocyclic terpene aldehyde,83.6,pije,2,NA
2-Undecanone,Ketone,88.9,pije,2,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pije,2,NA
Terpinyl acetate,methane monoterpenoid,83,pije,2,NA
delta-elemene,sesquiterpene,99.5,pije,2,NA
Ylangene,sesquiterpenoid,105.1,pije,2,NA
Copaene,sesquiterpenoid,105.1,pije,2,11.16
Thujopsene,sesquiterpene,105.9,pije,2,NA
cis-beta-elemene,sesquiterpene,98.3,pije,2,1.06
Caryophyllene,sesquiterpene,104.9,pije,2,6.96
a-bergamotene,sesquiterpene,100.6,pije,2,3.69
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pije,2,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pije,2,NA
(-)-Aristolene,sesquiterpene,99.9,pije,2,NA
Longifolene-(V4),sesquiterpene,95.6,pije,2,NA
Humulene,sesquiterpene,110.2,pije,2,3.25
c-Muurolene,sesquiterpene,106.5,pije,2,7.88
Germacrene D,sesquiterpene,111.9,pije,2,7.75
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pije,2,NA
a-selinene,sesquiterpene,102,pije,2,NA
a-cuparene,benzene,113.3,pije,2,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pije,2,NA
2-Hydroxycyclopentadecanone,NA,162.8,pije,2,NA
Dodecanoic acid,fatty acid,165,pije,2,12.22
Hedycaryol,terpenoid,110.9,pije,2,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pije,2,7.94
Caryophyllene oxide,epoxide sesquiterpene,119.7,pije,2,NA
b-eudesmol,terpene alcohol,108.6,pije,2,NA
Z-11-Tetradecenoic acid,NA,235.3,pije,2,4.76
Z-11-Pentadecenol,NA,128.6,pije,2,NA
Hexahydrofarnesyl acetone,NA,95.1,pije,2,8.74
Geranyl-a-terpinene,NA,NA,pije,2,NA
Palmitoleic acid ,NA,239.2,pije,2,NA
Sclareol,labdane diterpenoid,169%,pije,2,NA
3-carene,bicyclic monoterpene,46,pije,3,NA
a-pinene,monoterpene,33,pije,3,4.99
b-pinene,monoterpene,36,pije,3,NA
b-Myrcene,monoterpene,39.4,pije,3,NA
a-Phellandrene,cyclic monoterpene,47.2,pije,3,NA
D-Limonene,cyclic monoterpene,50,pije,3,NA
c-Terpinene,cyclic monoterpene,100,pije,3,NA
2-Carene,bicyclic monoterpene,38,pije,3,NA
Terpinolene,cyclic monoterpene,100,pije,3,NA
Pinocarvone,bicyclic monoterpene,85,pije,3,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pije,3,NA
Crypton ,Ketone,87.2,pije,3,NA
Dodecanal,Fatty aldehyde,114,pije,3,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pije,3,NA
Eucarvone,monocyclic monoterpenoid,90,pije,3,NA
I-Verbenone,bicyclic ketone terpene,85,pije,3,NA
a-Citrylideneethanol,NA,104.5,pije,3,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pije,3,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pije,3,NA
Phellandral,monocyclic terpene aldehyde,83.6,pije,3,NA
2-Undecanone,Ketone,88.9,pije,3,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pije,3,NA
Terpinyl acetate,methane monoterpenoid,83,pije,3,NA
delta-elemene,sesquiterpene,99.5,pije,3,NA
Ylangene,sesquiterpenoid,105.1,pije,3,NA
Copaene,sesquiterpenoid,105.1,pije,3,NA
Thujopsene,sesquiterpene,105.9,pije,3,NA
cis-beta-elemene,sesquiterpene,98.3,pije,3,NA
Caryophyllene,sesquiterpene,104.9,pije,3,3.71
a-bergamotene,sesquiterpene,100.6,pije,3,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pije,3,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pije,3,NA
(-)-Aristolene,sesquiterpene,99.9,pije,3,NA
Longifolene-(V4),sesquiterpene,95.6,pije,3,NA
Humulene,sesquiterpene,110.2,pije,3,NA
c-Muurolene,sesquiterpene,106.5,pije,3,NA
Germacrene D,sesquiterpene,111.9,pije,3,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pije,3,NA
a-selinene,sesquiterpene,102,pije,3,NA
a-cuparene,benzene,113.3,pije,3,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pije,3,NA
2-Hydroxycyclopentadecanone,NA,162.8,pije,3,NA
Dodecanoic acid,fatty acid,165,pije,3,NA
Hedycaryol,terpenoid,110.9,pije,3,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pije,3,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,pije,3,NA
b-eudesmol,terpene alcohol,108.6,pije,3,NA
Z-11-Tetradecenoic acid,NA,235.3,pije,3,36.29
Z-11-Pentadecenol,NA,128.6,pije,3,NA
Hexahydrofarnesyl acetone,NA,95.1,pije,3,29.68
Geranyl-a-terpinene,NA,NA,pije,3,NA
Palmitoleic acid ,NA,239.2,pije,3,NA
Sclareol,labdane diterpenoid,169%,pije,3,NA
3-carene,bicyclic monoterpene,46,pije,4,NA
a-pinene,monoterpene,33,pije,4,20.25
b-pinene,monoterpene,36,pije,4,NA
b-Myrcene,monoterpene,39.4,pije,4,NA
a-Phellandrene,cyclic monoterpene,47.2,pije,4,NA
D-Limonene,cyclic monoterpene,50,pije,4,NA
c-Terpinene,cyclic monoterpene,100,pije,4,NA
2-Carene,bicyclic monoterpene,38,pije,4,NA
Terpinolene,cyclic monoterpene,100,pije,4,NA
Pinocarvone,bicyclic monoterpene,85,pije,4,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pije,4,NA
Crypton ,Ketone,87.2,pije,4,NA
Dodecanal,Fatty aldehyde,114,pije,4,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pije,4,NA
Eucarvone,monocyclic monoterpenoid,90,pije,4,NA
I-Verbenone,bicyclic ketone terpene,85,pije,4,NA
a-Citrylideneethanol,NA,104.5,pije,4,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pije,4,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pije,4,NA
Phellandral,monocyclic terpene aldehyde,83.6,pije,4,NA
2-Undecanone,Ketone,88.9,pije,4,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pije,4,NA
Terpinyl acetate,methane monoterpenoid,83,pije,4,NA
delta-elemene,sesquiterpene,99.5,pije,4,NA
Ylangene,sesquiterpenoid,105.1,pije,4,10.60
Copaene,sesquiterpenoid,105.1,pije,4,9.25
Thujopsene,sesquiterpene,105.9,pije,4,NA
cis-beta-elemene,sesquiterpene,98.3,pije,4,NA
Caryophyllene,sesquiterpene,104.9,pije,4,5.07
a-bergamotene,sesquiterpene,100.6,pije,4,3.40
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pije,4,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pije,4,4.19
(-)-Aristolene,sesquiterpene,99.9,pije,4,NA
Longifolene-(V4),sesquiterpene,95.6,pije,4,NA
Humulene,sesquiterpene,110.2,pije,4,NA
c-Muurolene,sesquiterpene,106.5,pije,4,NA
Germacrene D,sesquiterpene,111.9,pije,4,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pije,4,NA
a-selinene,sesquiterpene,102,pije,4,NA
a-cuparene,benzene,113.3,pije,4,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pije,4,NA
2-Hydroxycyclopentadecanone,NA,162.8,pije,4,NA
Dodecanoic acid,fatty acid,165,pije,4,16.75
Hedycaryol,terpenoid,110.9,pije,4,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pije,4,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,pije,4,NA
b-eudesmol,terpene alcohol,108.6,pije,4,NA
Z-11-Tetradecenoic acid,NA,235.3,pije,4,5.46
Z-11-Pentadecenol,NA,128.6,pije,4,NA
Hexahydrofarnesyl acetone,NA,95.1,pije,4,9.72
Geranyl-a-terpinene,NA,NA,pije,4,NA
Palmitoleic acid ,NA,239.2,pije,4,NA
Sclareol,labdane diterpenoid,169%,pije,4,NA
3-carene,bicyclic monoterpene,46,pila,1,NA
a-pinene,monoterpene,33,pila,1,NA
b-pinene,monoterpene,36,pila,1,NA
b-Myrcene,monoterpene,39.4,pila,1,NA
a-Phellandrene,cyclic monoterpene,47.2,pila,1,NA
D-Limonene,cyclic monoterpene,50,pila,1,NA
c-Terpinene,cyclic monoterpene,100,pila,1,NA
2-Carene,bicyclic monoterpene,38,pila,1,NA
Terpinolene,cyclic monoterpene,100,pila,1,NA
Pinocarvone,bicyclic monoterpene,85,pila,1,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,pila,1,NA
Crypton ,Ketone,87.2,pila,1,NA
Dodecanal,Fatty aldehyde,114,pila,1,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,pila,1,NA
Eucarvone,monocyclic monoterpenoid,90,pila,1,NA
I-Verbenone,bicyclic ketone terpene,85,pila,1,NA
a-Citrylideneethanol,NA,104.5,pila,1,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,pila,1,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,pila,1,NA
Phellandral,monocyclic terpene aldehyde,83.6,pila,1,NA
2-Undecanone,Ketone,88.9,pila,1,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,pila,1,NA
Terpinyl acetate,methane monoterpenoid,83,pila,1,NA
delta-elemene,sesquiterpene,99.5,pila,1,NA
Ylangene,sesquiterpenoid,105.1,pila,1,11.06
Copaene,sesquiterpenoid,105.1,pila,1,NA
Thujopsene,sesquiterpene,105.9,pila,1,NA
cis-beta-elemene,sesquiterpene,98.3,pila,1,NA
Caryophyllene,sesquiterpene,104.9,pila,1,7.23
a-bergamotene,sesquiterpene,100.6,pila,1,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,pila,1,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,pila,1,6.05
(-)-Aristolene,sesquiterpene,99.9,pila,1,NA
Longifolene-(V4),sesquiterpene,95.6,pila,1,NA
Humulene,sesquiterpene,110.2,pila,1,NA
c-Muurolene,sesquiterpene,106.5,pila,1,NA
Germacrene D,sesquiterpene,111.9,pila,1,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,pila,1,NA
a-selinene,sesquiterpene,102,pila,1,NA
a-cuparene,benzene,113.3,pila,1,NA
cis-5-Dodecenoic acid,fatty acid,207.6,pila,1,NA
2-Hydroxycyclopentadecanone,NA,162.8,pila,1,NA
Dodecanoic acid,fatty acid,165,pila,1,NA
Hedycaryol,terpenoid,110.9,pila,1,NA
(-)-Spathulenol,sesquiterpenoid,123.9,pila,1,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,pila,1,NA
b-eudesmol,terpene alcohol,108.6,pila,1,NA
Z-11-Tetradecenoic acid,NA,235.3,pila,1,35.30
Z-11-Pentadecenol,NA,128.6,pila,1,NA
Hexahydrofarnesyl acetone,NA,95.1,pila,1,11.19
Geranyl-a-terpinene,NA,NA,pila,1,NA
Palmitoleic acid ,NA,239.2,pila,1,NA
Sclareol,labdane diterpenoid,169%,pila,1,NA
3-carene,bicyclic monoterpene,46,pila,2,NA
a-pinene,monoterpene,33,pila,2,NA
b-pinene,monoterpene,36,pila,2,NA
b-Myrcene,monoterpene,39.4,pila,2,NA
a-Phellandrene,cyclic monoterpene,47.2,pila,2,NA
D-Limonene,cyclic monoterpene,50,pila,2,NA
c-Terpinene,cyclic monoterpene,100,pila,2,NA
2-Carene,bicyclic monoterpene,38,pila,2,NA
Terpinolene,cyclic monoterpene,100,pila,2,NA
Pinocarvone,bicyclic monoterpene,85,pila,2,NA
