name,group,flash_point,spcode,replicate,%area
(-)-Aristolene,sesquiterpene,99.9,abco,2,NA
Longifolene-(V4),sesquiterpene,95.6,abco,2,NA
Humulene,sesquiterpene,110.2,abco,2,NA
c-Muurolene,sesquiterpene,106.5,abco,2,NA
Germacrene D,sesquiterpene,111.9,abco,2,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,abco,2,NA
a-selinene,sesquiterpene,102,abco,2,NA
a-cuparene,benzene,113.3,abco,2,NA
cis-5-Dodecenoic acid,fatty acid,207.6,abco,2,NA
2-Hydroxycyclopentadecanone,NA,162.8,abco,2,NA
Dodecanoic acid,fatty acid,165,abco,2,NA
Hedycaryol,terpenoid,110.9,abco,2,NA
(-)-Spathulenol,sesquiterpenoid,123.9,abco,2,0.50
Caryophyllene oxide,epoxide sesquiterpene,119.7,abco,2,NA
b-eudesmol,terpene alcohol,108.6,abco,2,NA
Z-11-Tetradecenoic acid,NA,235.3,abco,2,NA
Z-11-Pentadecenol,NA,128.6,abco,2,NA
Hexahydrofarnesyl acetone,NA,95.1,abco,2,1.39
Geranyl-a-terpinene,NA,NA,abco,2,NA
Palmitoleic acid ,NA,239.2,abco,2,NA
Sclareol,labdane diterpenoid,169%,abco,2,NA
3-carene,bicyclic monoterpene,46,abco,3,NA
a-pinene,monoterpene,33,abco,3,17.73
b-pinene,monoterpene,36,abco,3,NA
b-Myrcene,monoterpene,39.4,abco,3,NA
a-Phellandrene,cyclic monoterpene,47.2,abco,3,15.61
D-Limonene,cyclic monoterpene,50,abco,3,NA
c-Terpinene,cyclic monoterpene,100,abco,3,NA
2-Carene,bicyclic monoterpene,38,abco,3,NA
Terpinolene,cyclic monoterpene,100,abco,3,NA
Pinocarvone,bicyclic monoterpene,85,abco,3,1.59
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,abco,3,NA
Crypton ,Ketone,87.2,abco,3,1.52
Dodecanal,Fatty aldehyde,114,abco,3,4.15
(1R)-(-)-Myrtenal,terpene aldehyde,80,abco,3,0.95
Eucarvone,monocyclic monoterpenoid,90,abco,3,NA
I-Verbenone,bicyclic ketone terpene,85,abco,3,NA
a-Citrylideneethanol,NA,104.5,abco,3,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,abco,3,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,abco,3,NA
Phellandral,monocyclic terpene aldehyde,83.6,abco,3,1.15
2-Undecanone,Ketone,88.9,abco,3,0.84
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,abco,3,NA
Terpinyl acetate,methane monoterpenoid,83,abco,3,NA
delta-elemene,sesquiterpene,99.5,abco,3,2.69
Ylangene,sesquiterpenoid,105.1,abco,3,NA
Copaene,sesquiterpenoid,105.1,abco,3,2.50
Thujopsene,sesquiterpene,105.9,abco,3,NA
cis-beta-elemene,sesquiterpene,98.3,abco,3,NA
Caryophyllene,sesquiterpene,104.9,abco,3,10.78
a-bergamotene,sesquiterpene,100.6,abco,3,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,abco,3,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,abco,3,NA
(-)-Aristolene,sesquiterpene,99.9,abco,3,5.38
Longifolene-(V4),sesquiterpene,95.6,abco,3,5.34
Humulene,sesquiterpene,110.2,abco,3,NA
c-Muurolene,sesquiterpene,106.5,abco,3,NA
Germacrene D,sesquiterpene,111.9,abco,3,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,abco,3,NA
a-selinene,sesquiterpene,102,abco,3,4.26
a-cuparene,benzene,113.3,abco,3,NA
cis-5-Dodecenoic acid,fatty acid,207.6,abco,3,NA
2-Hydroxycyclopentadecanone,NA,162.8,abco,3,NA
Dodecanoic acid,fatty acid,165,abco,3,NA
Hedycaryol,terpenoid,110.9,abco,3,NA
(-)-Spathulenol,sesquiterpenoid,123.9,abco,3,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,abco,3,2.27
b-eudesmol,terpene alcohol,108.6,abco,3,NA
Z-11-Tetradecenoic acid,NA,235.3,abco,3,3.72
Z-11-Pentadecenol,NA,128.6,abco,3,NA
Hexahydrofarnesyl acetone,NA,95.1,abco,3,1.65
Geranyl-a-terpinene,NA,NA,abco,3,NA
Palmitoleic acid ,NA,239.2,abco,3,NA
Sclareol,labdane diterpenoid,169%,abco,3,NA
3-carene,bicyclic monoterpene,46,abco,4,1.64
a-pinene,monoterpene,33,abco,4,4.38
b-pinene,monoterpene,36,abco,4,NA
b-Myrcene,monoterpene,39.4,abco,4,NA
a-Phellandrene,cyclic monoterpene,47.2,abco,4,8.86
D-Limonene,cyclic monoterpene,50,abco,4,NA
c-Terpinene,cyclic monoterpene,100,abco,4,NA
2-Carene,bicyclic monoterpene,38,abco,4,NA
Terpinolene,cyclic monoterpene,100,abco,4,NA
Pinocarvone,bicyclic monoterpene,85,abco,4,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,abco,4,NA
