name,group_more,group_less,terpene,flash_point,Abco 1,Abco 2,Abco 3,Abco 4,Abma 1,Abma 2,Abma 3,Abma 4,Cade 1,Cade 2,Cade 3,Cade 4,Pije 1,Pije 2,Pije 3,Pije 4,Pila 1,Pila 2,Pila 3,Pila 4,Pipo 1,Pipo 2,Pipo 3,Pipo 4,Quke 1,Quke 2,Quke 3,Quke 4,Segi 1,Segi 2,Segi 3,Segi 4
(-)-Aristolene,sesquiterpene,sesquiterpene,1,99.9,5105139702,0,18167178331,874001142.9,0,398499241.1,157679107.5,70787787.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(-)-Carvone,methane monoterpenoid,monoterpenoid,2,94,0,0,0,0,0,0,0,0,0,1003074474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(1R)-(-)-Myrtenal,monoterpenoid aldehyde,aldehyde,0,78,0,1802113733,1013270497,58778459.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Carene,bicyclic monoterpene,monoterpene,1,38,0,1208862062,0,0,0,0,0,0,7421344974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882021057.7,0,0,0
2-Hydroxycyclopentadecanone,Ketone,ketone,0,162.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792576503.5,0,0,0,0,0,0,0,0,0,0
2-Undecanone,Ketone,ketone,0,88.9,0,3133875052,895003810.9,0,0,558491014.2,38014746.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Carene,bicyclic monoterpene,monoterpene,1,47,0,0,0,0,0,0,0,0,12321670460,3188210078,2321040980,69866860.26,0,291856663.8,0,0,0,0,0,0,0,161043399.4,0,0,0,0,0,0,14704626014,4285674195,0,0
"5-Bornen-2-one, (-)-",monoterpenoid,monoterpenoid,2,68.7,0,0,0,0,0,0,0,0,1727411101,1227810501,3646206071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-Bergamotene,sesquiterpene,sesquiterpene,1,100.6,0,0,0,0,0,0,0,0,0,0,0,0,754075267.2,580716113.3,0,36830955.56,0,0,0,0,0,0,513230723.9,0,0,0,0,0,0,0,0,0
a-Citrylideneethanol,Alcohol,alcohol,0,104.5,0,0,0,0,0,0,0,0,13987586389,7791947129,5157133907,46610797.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-Copaene,sesquiterpenoid,sesquiterpenoid,2,105.1,1231364532,3847149661,2652772208,890702733.8,0,0,0,0,0,0,0,0,1886151011,1754155742,0,100164163.2,0,0,0,0,430996315.9,0,0,0,0,0,0,0,0,1870697404,336228438.9,0
a-Cuparene,sesquiterpene,sesquiterpene,1,110,0,0,0,0,0,0,0,0,1358814119,635384889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-Humulene,sesquiterpene,sesquiterpene,1,90,0,0,0,0,0,7317049173,0,0,2554164107,1339794984,0,0,593067658.6,511238536.7,0,0,0,0,131081108.2,0,0,190537286.5,2060823765,0,0,0,0,0,9096397256,3605196225,709736552.4,429789079.6
a-Phellandrene,cyclic monoterpene,monoterpene,1,47.2,2158801246,20422295884,16586630058,1854835554,708510034.4,2473459683,375536710.1,401572389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-Pinene,monoterpene,monoterpene,1,33,2312491859,28614345966,18831052060,1261958192,487736288.4,303459024.3,0,219631600.9,8751681499,1123808129,965352366.9,17459497.74,1391178180,1290304895,426634501.4,219258504.3,0,0,0,0,469818469.8,386341691.9,0,0,0,0,0,0,0,0,500782701.9,2652973794
a-Selinene,sesquiterpene,sesquiterpene,1,102,0,0,4521320536,2984580884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-Ylangene,sesquiterpenoid,sesquiterpenoid,2,105.1,206642824.4,0,0,0,181329845.8,0,0,88417631.17,0,0,0,0,0,0,0,114821428.4,131129930.9,203846491.4,730613001.2,0,0,0,0,46032463.27,0,0,0,0,0,0,179699471.1,0
"Azulene, decahydro-1-methyl-4-methylene-7-(1-methylethenyl)-",sesquiterpene,sesquiterpene,1,105.1,0,0,0,0,273425366.4,0,0,182423769.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111069114.8,0,0,0,0,0
b-Cedrene,sesquiterpene,sesquiterpene,1,113,0,0,0,0,0,0,0,0,2444155827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b-Eudesmol,sesquiterpene,sesquiterpene,1,108.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4095667383,8587069063,0,0
b-Pinene,monoterpene,monoterpene,1,36,0,0,0,0,0,1214980538,157001892.7,0,3993534215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caryophyllene,sesquiterpene,sesquiterpene,1,96,1875399006,16486638043,11454931293,1293715793,101953953.9,1898092601,86902104.71,83504409.59,0,827561890.6,0,0,1074106036,1093955862,317330709.1,54889159.22,44796677.5,0,276461242.9,0,795494675.9,963224369.9,1558547183,37513301.81,0,0,0,0,4339161372,1579448391,301304418.7,211603047.1
Caryophyllene oxide,epoxide sesquiterpene,sesquiterpene,1,110,2370317071,0,2410844014,1335474742,0,337070442.6,0,0,5989992740,0,0,13397433.57,0,0,0,0,14866874.87,0,158053439.9,0,0,0,0,0,0,0,0,0,0,911023941.5,247566948.8,0
cis-5-Dodecenoic acid,fatty acid,fatty acid,0,113,0,0,0,0,0,0,0,0,2203319050,0,0,35420030.62,0,0,0,0,0,0,0,0,0,0,3418926413,58610533.83,0,0,0,0,0,0,0,0
cis-beta-Elemene,sesquiterpene,sesquiterpene,1,98.3,0,0,0,0,0,0,0,0,1266217399,1033926059,0,0,0,167070797.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c-Muurolene,sesquiterpene,sesquiterpene,1,106.5,0,0,0,0,0,0,0,0,0,0,0,0,1241837259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryton,Ketone,ketone,0,87.2,191723410.2,2291074605,1617350523,97362718.83,0,243720486.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
