"Plot Title: 1253388 "
"#","Time, GMT-05:00","K-Type, °C","Started","Button Down","Button Up","Host Connected","Stopped","End Of File"
109,08/20/15 11:00:15.843 AM,22.29,,,,,,
110,08/20/15 11:00:16.843 AM,22.29,,,,,,
111,08/20/15 11:00:17.843 AM,22.29,,,,,,
112,08/20/15 11:00:18.843 AM,22.29,,,,,,
113,08/20/15 11:00:19.843 AM,22.29,,,,,,
114,08/20/15 11:00:20.843 AM,22.29,,,,,,
115,08/20/15 11:00:21.843 AM,22.29,,,,,,
116,08/20/15 11:00:22.843 AM,22.29,,,,,,
117,08/20/15 11:00:23.843 AM,22.29,,,,,,
118,08/20/15 11:00:24.843 AM,22.29,,,,,,
119,08/20/15 11:00:25.843 AM,22.29,,,,,,
120,08/20/15 11:00:26.843 AM,22.29,,,,,,
121,08/20/15 11:00:27.843 AM,22.63,,,,,,
122,08/20/15 11:00:28.843 AM,22.63,,,,,,
123,08/20/15 11:00:29.843 AM,22.29,,,,,,
124,08/20/15 11:00:30.843 AM,22.63,,,,,,
125,08/20/15 11:00:31.843 AM,22.29,,,,,,
126,08/20/15 11:00:32.843 AM,22.29,,,,,,
127,08/20/15 11:00:33.843 AM,22.29,,,,,,
128,08/20/15 11:00:34.843 AM,22.29,,,,,,
129,08/20/15 11:00:35.843 AM,22.29,,,,,,
130,08/20/15 11:00:36.843 AM,22.29,,,,,,
131,08/20/15 11:00:37.843 AM,22.29,,,,,,
132,08/20/15 11:00:38.843 AM,22.29,,,,,,
133,08/20/15 11:00:39.843 AM,22.29,,,,,,
134,08/20/15 11:00:40.843 AM,22.29,,,,,,
135,08/20/15 11:00:41.843 AM,22.63,,,,,,
136,08/20/15 11:00:42.843 AM,22.29,,,,,,
137,08/20/15 11:00:43.843 AM,22.29,,,,,,
138,08/20/15 11:00:44.843 AM,22.63,,,,,,
139,08/20/15 11:00:45.843 AM,22.63,,,,,,
140,08/20/15 11:00:46.843 AM,22.29,,,,,,
141,08/20/15 11:00:47.843 AM,22.29,,,,,,
142,08/20/15 11:00:48.843 AM,22.29,,,,,,
143,08/20/15 11:00:49.843 AM,22.63,,,,,,
144,08/20/15 11:00:50.843 AM,22.29,,,,,,
145,08/20/15 11:00:51.843 AM,22.29,,,,,,
146,08/20/15 11:00:52.843 AM,22.63,,,,,,
147,08/20/15 11:00:53.843 AM,22.29,,,,,,
148,08/20/15 11:00:54.843 AM,22.63,,,,,,
149,08/20/15 11:00:55.843 AM,22.63,,,,,,
150,08/20/15 11:00:56.843 AM,22.29,,,,,,
151,08/20/15 11:00:57.843 AM,22.29,,,,,,
152,08/20/15 11:00:58.843 AM,22.63,,,,,,
153,08/20/15 11:00:59.843 AM,22.29,,,,,,
154,08/20/15 11:01:00.843 AM,22.63,,,,,,
155,08/20/15 11:01:01.843 AM,22.29,,,,,,
156,08/20/15 11:01:02.843 AM,22.63,,,,,,
157,08/20/15 11:01:03.843 AM,22.29,,,,,,
158,08/20/15 11:01:04.843 AM,22.29,,,,,,
159,08/20/15 11:01:05.843 AM,22.63,,,,,,
160,08/20/15 11:01:06.843 AM,22.63,,,,,,
161,08/20/15 11:01:07.843 AM,22.29,,,,,,
162,08/20/15 11:01:08.843 AM,22.29,,,,,,
163,08/20/15 11:01:09.843 AM,22.63,,,,,,
164,08/20/15 11:01:10.843 AM,22.29,,,,,,
