nid,spcode,moisture,MC_dry,actualMC_dry,day,month,year,time,t2ignit,ignit.x,ignit.y,sustain,combust,consum.x,consum.y,spread.x,spread.y,rh,temp,hour,T_C
50,Pije,10,10,12.6,27,7,2015,11:11,9.15,1,1,1723.8,730,79.8,77.2,1.061,0.106134579,48.3,90.1,72,32.3
51,Pije,10,10,11.4,27,7,2015,14:01,7.31,1,1,1093.9,950,84.5,82.6,1.513,0.151316453,38,98.3,72,36.8
52,Pije,10,10,10.8,3,8,2015,11:15,5.35,1,1,1505.84,850,81.2,78.83,1.216,0.12157562,52.4,85.1,72,29.5
53,Pije,10,10,11,3,8,2015,13:43,6.52,1,1,846.97,890,91.4,90.33,1.97,0.197031394,45.4,91.4,72,33
54,Pije,10,10,10.7,31,8,2015,11:31,4.58,1,1,817.42,970,92.33,91.38,1.958,0.195837794,42.7,82,72,27.8
55,Pije,15,20,18.4,14,8,2015,12:33,5.68,1,1,788.81,980,93.87,93.1,1.979,0.197883961,39.8,93,48,33.9
56,Pije,15,20,16.7,14,8,2015,15:00,4.91,1,1,771.41,1040,88.13,86.65,2.202,0.220225511,35.2,96.3,48,35.7
57,Pije,15,20,16.3,25,8,2015,11:46,2.95,1,1,948.89,830,88.07,86.58,1.762,0.176178339,53.2,84.5,48,29.2
58,Pije,15,20,20.7,25,8,2015,13:20,6.93,1,1,818.81,800,85.16,83.3,2.047,0.204660809,40.9,90.1,48,32.3
59,Pije,15,20,22.8,11,9,2015,14:04,8.25,1,1,1030.37,930,92.49,91.55,1.555,0.155498424,37,84.4,48,29.1
60,Pije,20,25,21.9,14,8,2015,13:31,7.32,1,1,1324.09,970,80.78,78.38,1.59,0.159029707,37.5,95.4,48,35.2
61,Pije,20,25,19.4,14,8,2015,15:49,5.46,1,1,1142.48,810,63.47,58.9,1.147,0.114662839,32.3,98.8,48,37.1
62,Pije,20,25,32,17,8,2015,14:27,13.82,1,1,660.59,600,19.22,23.85,0.696,0.06963472,34.8,87.4,48,30.8
63,Pije,20,25,24,17,8,2015,15:41,8.15,1,1,1251.73,910,86.51,84.83,1.474,0.147399866,31.9,92.6,48,33.7
64,Pije,20,25,22.1,20,8,2015,11:22,7.45,1,1,660.52,670,29.36,36.08,1.157,0.115716218,45.4,75.7,48,24.3
65,Pije,25,35,33.3,25,8,2015,12:19,5.66,1,1,1250.89,810,80.2,77.73,1.294,0.129387308,48.9,87.1,24,30.6
66,Pije,25,35,26.9,25,8,2015,13:39,4.96,1,1,1293.25,820,86.71,85.05,1.43,0.142951082,37.4,91.5,24,33.1
67,Pije,25,35,43.6,31,8,2015,13:16,10.27,1,1,720.68,670,41.27,33.93,1.136,0.113580792,30.5,86.8,24,30.4
68,Pije,25,35,42,31,8,2015,15:03,8.83,1,1,116.75,420,5.24,5.24,1.199,0.119914347,27.5,91.4,24,33
69,Pije,30,45,46.1,29,7,2015,13:57,9.17,1,1,554,660,30.8,22.1,1.318,0.131768953,44.4,92.6,24,33.7
70,Pije,30,45,51.3,29,7,2015,15:08,10.62,1,1,1409,810,86.9,85.28,1.122,0.112208259,40.2,95.2,24,35.1
71,Pije,30,45,43,3,8,2015,13:04,7.93,1,1,822.37,610,12.2,1.2,0.73,0.07295986,46.1,90.7,24,32.6
72,Pije,30,45,40.6,3,8,2015,14:47,7.67,1,1,380.24,470,14.6,3.95,0.894,0.08941721,44,94.6,24,34.8
73,Pije,30,45,43.8,20,8,2015,12:08,8.12,1,1,867.4,500,28.04,32.1,0.865,0.086465299,48.2,76,24,24.4
74,Pije,30,45,39.4,20,8,2015,13:52,6.21,1,1,538.39,590,15.27,24.23,0.892,0.089154702,47.1,77.4,24,25.2
75,Pije,35,55,50,20,8,2015,12:43,3.98,1,1,416.81,530,11.91,22.6,1.149,0.114898506,48.7,76,24,24.4
76,Pije,35,55,55.4,20,8,2015,14:20,4.83,1,1,501.95,480,6.13,4.48,1.056,0.105588206,46.7,78.7,24,25.9
77,Pije,35,55,57.5,11,9,2015,13:16,10.69,0,0,0,0,0,0,0,0,39.1,86,24,30
78,Pije,40,65,73.5,14,9,2015,12:21,27.93,0,0,0,0,0,0,0,0,44.8,82.6,0,28.1
79,Pila,10,10,12.7,4,5,2015,11:52,14.95,1,1,246.45,260,6.8,6.75,0.56,0.052749036,62.3,73.3,96,22.9
80,Pila,10,10,10.3,4,5,2015,13:41,12.27,1,1,1289.5,630,81.3,81.28,1.31,0.129388424,51.8,76.3,96,24.6
81,Pila,10,10,12.3,26,5,2015,12:26,12.35,1,1,125.54,390,11,0,1.77,0.159311773,39.6,75.6,96,24.2
82,Pila,10,10,10,21,7,2015,12:36,8.87,1,1,482.33,620,30.7,22,2.08,0.149275392,56.4,84.2,96,29
