hour,rep,wet_weight,dry_weight,spcode,MC_wet,MC_dry,bd
96,1_3,12.3,11.1,Abma,9.8,10.8,0.042344173
96,1_1,11.5,10.7,Cade,7,7.5,0.084005376
96,1_2,10.5,9.7,Cade,7.6,8.2,0.084005376
96,1_3,11.2,10.1,Cade,9.8,10.9,0.084005376
96,1_1,13,12,Pije,7.7,8.3,0.023567119
96,1_2,12.2,11.4,Pije,6.6,7,0.023567119
96,1_3,13.7,12.7,Pije,7.3,7.9,0.023567119
96,1_1,10.5,9.6,Pila,8.6,9.4,0.026012764
96,1_2,10.1,9.2,Pila,8.9,9.8,0.026012764
96,1_3,11.8,10.8,Pila,8.5,9.3,0.026012764
96,1_1,10.3,9.6,Pipo,6.8,7.3,0.024187307
96,1_2,12.1,11.3,Pipo,6.6,7.1,0.024187307
96,1_3,11.6,10.8,Pipo,6.9,7.4,0.024187307
96,1_1,10.1,8.8,Quke,12.9,14.8,0.02094855
96,1_2,10.1,9,Quke,10.9,12.2,0.02094855
96,1_3,10.2,9.3,Quke,8.8,9.7,0.02094855
96,1_1,13.6,12.8,Segi,5.9,6.2,0.075604839
96,1_2,15.2,14.2,Segi,6.6,7,0.075604839
96,1_3,15.7,14.5,Segi,7.6,8.3,0.075604839
0,2_1,15.7,8.8,Abco,43.9,78.4,0.056003584
0,2_2,14.8,8.2,Abco,44.6,80.5,0.056003584
0,2_3,14.2,9.4,Abco,33.8,51.1,0.056003584
0,2_1,17,9,Abma,47.1,88.9,0.053418803
0,2_2,15.9,8,Abma,49.7,98.8,0.053418803
0,2_3,16.7,7.4,Abma,55.7,125.7,0.053418803
0,2_1,13.9,6.9,Cade,50.4,101.4,0.112007168
0,2_2,14.3,7.4,Cade,48.3,93.2,0.112007168
0,2_3,15.4,8.2,Cade,46.8,87.8,0.112007168
0,2_1,14.8,6.3,Pije,57.4,134.9,0.029648956
0,2_2,14.3,5.8,Pije,59.4,146.6,0.029648956
0,2_3,14.6,5.6,Pije,61.6,160.7,0.029648956
0,2_1,15.1,4.2,Pila,72.2,259.5,0.031333556
0,2_2,14.5,4,Pila,72.4,262.5,0.031333556
0,2_3,14.4,4.2,Pila,70.8,242.9,0.031333556
0,2_1,14.8,4.9,Pipo,66.9,202,0.030637255
0,2_2,14.5,5.6,Pipo,61.4,158.9,0.030637255
0,2_3,14.5,6.4,Pipo,55.9,126.6,0.030637255
0,2_1,13.9,2,Quke,85.6,595,0.02785205
0,2_2,14.1,2.1,Quke,85.1,571.4,0.02785205
0,2_3,14,2.3,Quke,83.6,508.7,0.02785205
0,2_1,14.9,9.1,Segi,38.9,63.7,0.099153887
0,2_2,14.4,8.5,Segi,41,69.4,0.099153887
0,2_3,15.6,9.3,Segi,40.4,67.7,0.099153887
25,2_1,11.6,8.8,Abco,24.1,31.8,0.051062092
25,2_2,13.2,10.4,Abco,21.2,26.9,0.051062092
25,2_3,13.5,10.8,Abco,20,25,0.051062092
25,2_1,12.6,8.5,Abma,32.5,48.2,0.049603175
25,2_2,12.4,7.7,Abma,37.9,61,0.049603175
25,2_3,13,9.7,Abma,25.4,34,0.049603175
25,2_1,14.1,9,Cade,36.2,56.7,0.104282536
