hour,rep,wet_weight,dry_weight,spcode,MC_wet,MC_dry,bd
72,4_2,11.8,10.1,Cade,14.4,16.8,0.087657784
72,4_3,13.2,10.5,Cade,20.5,25.7,0.087657784
72,4_1,11.8,10.1,Pila,14.4,16.8,0.027032872
72,4_2,11.6,8.9,Pila,23.3,30.3,0.027032872
72,4_3,11.1,10.1,Pila,9,9.9,0.027032872
72,4_1,13.4,4.2,Quke,68.7,219,0.024509804
72,4_2,12.8,5.2,Quke,59.4,146.2,0.024509804
72,4_3,11.5,4.9,Quke,57.4,134.7,0.024509804
0,5_1,12,7.1,Abco,40.8,69,0.05787037
0,5_2,11.1,5.7,Abco,48.6,94.7,0.05787037
0,5_3,11.2,6.8,Abco,39.3,64.7,0.05787037
0,5_1,13.2,7.3,Abma,44.7,80.8,0.051824212
0,5_2,14.3,7.4,Abma,48.3,93.2,0.051824212
0,5_3,13.4,7.2,Abma,46.3,86.1,0.051824212
0,5_1,10.9,5.5,Cade,49.5,98.2,0.116315136
0,5_2,10.3,5,Cade,51.5,106,0.116315136
0,5_3,12.3,6.3,Cade,48.8,95.2,0.116315136
0,5_1,13,5.2,Pije,60,150,0.029648956
0,5_2,13,4.8,Pije,63.1,170.8,0.029648956
0,5_3,12.9,5.4,Pije,58.1,138.9,0.029648956
0,5_1,12.4,3.3,Pila,73.4,275.8,0.031693712
0,5_2,12.7,3.3,Pila,74,284.8,0.031693712
0,5_3,13.1,3.6,Pila,72.5,263.9,0.031693712
0,5_1,11.1,4.8,Pipo,56.8,131.3,0.030637255
0,5_2,11.2,5,Pipo,55.4,124,0.030637255
0,5_3,11,4.9,Pipo,55.5,124.5,0.030637255
0,5_1,14.7,2.3,Quke,84.4,539.1,0.02785205
0,5_2,13.4,2.2,Quke,83.6,509.1,0.02785205
0,5_3,14,2.5,Quke,82.1,460,0.02785205
0,5_1,10.7,6.3,Segi,41.1,69.8,0.100806452
0,5_2,12.9,7.8,Segi,39.5,65.4,0.100806452
0,5_3,12.9,7.4,Segi,42.6,74.3,0.100806452
48,5_1,13,11.4,Abco,12.3,14,0.046296296
48,5_2,11.7,10.1,Abco,13.7,15.8,0.046296296
48,5_3,12.8,11.2,Abco,12.5,14.3,0.046296296
48,5_1,12.7,10.2,Abma,19.7,24.5,0.046296296
48,5_2,13,10.1,Abma,22.3,28.7,0.046296296
48,5_3,13.5,10.2,Abma,24.4,32.4,0.046296296
48,5_1,12.1,8.2,Cade,32.2,47.6,0.099153887
48,5_2,12.4,7.2,Cade,41.9,72.2,0.099153887
48,5_3,12.5,8.1,Cade,35.2,54.3,0.099153887
48,5_1,11.1,10,Pije,9.9,11,0.026260504
48,5_2,12.1,10,Pije,17.4,21,0.026260504
48,5_3,12.9,11.5,Pije,10.9,12.2,0.026260504
48,5_1,11.5,8.6,Pila,25.2,33.7,0.027573529
48,5_2,13.6,9.8,Pila,27.9,38.8,0.027573529
48,5_3,12.5,9.7,Pila,22.4,28.9,0.027573529
48,5_1,11.1,9,Pipo,18.9,23.3,0.027032872
48,5_2,10.8,9.9,Pipo,8.3,9.1,0.027032872
48,5_3,10.4,9.3,Pipo,10.6,11.8,0.027032872
48,5_1,10.9,4.4,Quke,59.6,147.7,0.025531046
48,5_2,11.2,3.9,Quke,65.2,187.2,0.025531046
48,5_3,12.3,4.6,Quke,62.6,167.4,0.025531046
48,5_1,12.2,9.4,Segi,23,29.8,0.085188551
48,5_2,12.3,9.3,Segi,24.4,32.3,0.085188551
48,5_3,12.4,10.3,Segi,16.9,20.4,0.085188551
73,5_1,14.5,12.7,Abco,12.4,14.2,0.042344173
73,5_2,13.9,12,Abco,13.7,15.8,0.042344173
73,5_3,14.3,12.9,Abco,9.8,10.9,0.042344173
73,5_1,13.1,11.3,Abma,13.7,15.9,0.042866941
73,5_2,13.7,12.1,Abma,11.7,13.2,0.042866941
73,5_3,14.5,12.4,Abma,14.5,16.9,0.042866941
73,5_1,13.9,10.1,Cade,27.3,37.6,0.087657784
73,5_2,13.6,9.9,Cade,27.2,37.4,0.087657784
73,5_3,13.7,10.6,Cade,22.6,29.2,0.087657784
73,5_1,12.9,11.8,Pije,8.5,9.3,0.025066845
73,5_2,12.9,11.9,Pije,7.8,8.4,0.025066845
73,5_3,13,12.1,Pije,6.9,7.4,0.025066845
73,5_1,13.5,10.2,Pila,24.4,32.4,0.026770417
73,5_2,12.9,11.9,Pila,7.8,8.4,0.026770417
73,5_3,11.4,10.3,Pila,9.6,10.7,0.026770417
73,5_1,10.7,10,Pipo,6.5,7,0.025769654
73,5_2,11.7,10.9,Pipo,6.8,7.3,0.025769654
73,5_3,10.6,10,Pipo,5.7,6,0.025769654
73,5_1,13.8,8,Quke,42,72.5,0.022694263
73,5_2,12.3,10.6,Quke,13.8,16,0.022694263
73,5_3,13.1,6.1,Quke,53.4,114.8,0.022694263
73,5_1,11.7,10.5,Segi,10.3,11.4,0.080645161
73,5_2,12.8,10.5,Segi,18,21.9,0.080645161
73,5_3,12.3,10.6,Segi,13.8,16,0.080645161
93,5_1,12.1,11,Abma,9.1,10,0.041834003
93,5_2,12.3,11,Abma,10.6,11.8,0.041834003
93,5_3,12.3,10.9,Abma,11.4,12.8,0.041834003
93,5_1,10.2,8,Cade,21.6,27.5,0.085188551
93,5_2,12.2,9.2,Cade,24.6,32.6,0.085188551
93,5_3,12,10,Cade,16.7,20,0.085188551
93,5_1,11.5,10.6,Pila,7.8,8.5,0.026012764
93,5_2,12.2,11.3,Pila,7.4,8,0.026012764
93,5_3,12,11,Pila,8.3,9.1,0.026012764
93,5_1,10.2,9.8,Quke,3.9,4.1,0.020596474
93,5_2,11.4,10.3,Quke,9.6,10.7,0.020596474
93,5_3,11.4,10.9,Quke,4.4,4.6,0.020596474
93,5_1,10.8,10.1,Segi,6.5,6.9,0.075604839
93,5_2,12.6,11.8,Segi,6.3,6.8,0.075604839
93,5_3,12,11,Segi,8.3,9.1,0.075604839
0,6_1,11.3,6,Abco,46.9,88.3,0.05787037
0,6_2,11.9,6.9,Abco,42,72.5,0.05787037
0,6_3,11.9,7,Abco,41.2,70,0.05787037
0,6_1,11.1,5.8,Abma,47.7,91.4,0.051824212
0,6_2,12.5,6.9,Abma,44.8,81.2,0.051824212
0,6_3,11.2,5.7,Abma,49.1,96.5,0.051824212
0,6_1,10.8,6.1,Cade,43.5,77,0.112007168
0,6_2,13.6,7.3,Cade,46.3,86.3,0.112007168
0,6_3,10.8,5.6,Cade,48.1,92.9,0.112007168
0,6_1,10.9,4.6,Pije,57.8,137,0.029333542
0,6_2,10.9,4.5,Pije,58.7,142.2,0.029333542
0,6_3,10.8,4.6,Pije,57.4,134.8,0.029333542
0,6_1,14.1,4.2,Pila,70.2,235.7,0.031693712
0,6_2,12.4,3.9,Pila,68.5,217.9,0.031693712
0,6_3,11.4,3.6,Pila,68.4,216.7,0.031693712
0,6_1,13,5.5,Pipo,57.7,136.4,0.030300582
0,6_2,12.3,5,Pipo,59.3,146,0.030300582
0,6_3,12.8,5.6,Pipo,56.3,128.6,0.030300582
0,6_1,12.4,2.4,Quke,80.6,416.7,0.027539106
0,6_2,11.7,2.5,Quke,78.6,368,0.027539106
0,6_3,12.8,2.4,Quke,81.3,433.3,0.027539106
0,6_1,11.7,7,Segi,40.2,67.1,0.099153887
0,6_2,10.2,6.1,Segi,40.2,67.2,0.099153887
0,6_3,12.2,7.4,Segi,39.3,64.9,0.099153887
24,6_1,12.7,9,Abco,29.1,41.1,0.050322061
24,6_2,11.7,9.7,Abco,17.1,20.6,0.050322061
24,6_3,12.7,9.5,Abco,25.2,33.7,0.050322061
24,6_1,10.6,8.3,Abma,21.7,27.7,0.048904538
24,6_2,10.4,6.8,Abma,34.6,52.9,0.048904538
24,6_3,10.7,7.4,Abma,30.8,44.6,0.048904538
24,6_1,13.8,7,Cade,49.3,97.1,0.106112054
24,6_2,12.2,6.8,Cade,44.3,79.4,0.106112054
24,6_3,13,7,Cade,46.2,85.7,0.106112054
24,6_1,12.8,7.2,Pije,43.8,77.8,0.027573529
24,6_2,11.6,8.4,Pije,27.6,38.1,0.027573529
24,6_3,12,7.6,Pije,36.7,57.9,0.027573529
24,6_1,13.3,6,Pila,54.9,121.7,0.029648956
24,6_2,10.4,4.3,Pila,58.7,141.9,0.029648956
24,6_3,12.6,4.8,Pila,61.9,162.5,0.029648956
24,6_1,12.2,6.9,Pipo,43.4,76.8,0.028426319
24,6_2,12.5,7.3,Pipo,41.6,71.2,0.028426319
24,6_3,12.8,8.8,Pipo,31.3,45.5,0.028426319
24,6_1,10.9,2.9,Quke,73.4,275.9,0.026354628
24,6_2,11,2.9,Quke,73.6,279.3,0.026354628
24,6_3,11.1,2.9,Quke,73.9,282.8,0.026354628
24,6_1,12.4,8.7,Segi,29.8,42.5,0.094506048
24,6_2,11.9,7.9,Segi,33.6,50.6,0.094506048
24,6_3,12.5,7.8,Segi,37.6,60.3,0.094506048
29,6_1,11.5,8.9,Abco,22.6,29.2,0.049603175
29,6_2,10.2,7.6,Abco,25.5,34.2,0.049603175
29,6_3,11.4,8.7,Abco,23.7,31,0.049603175
29,6_1,11.2,7.8,Abma,30.4,43.6,0.047564688
29,6_2,11.5,8.8,Abma,23.5,30.7,0.047564688
29,6_3,11.4,7.6,Abma,33.3,50,0.047564688
29,6_1,10.5,4.5,Cade,57.1,133.3,0.108006912
29,6_2,11,6.2,Cade,43.6,77.4,0.108006912
29,6_3,10.5,5.6,Cade,46.7,87.5,0.108006912
29,6_1,12.1,8.2,Pije,32.2,47.6,0.028136255
29,6_2,11.5,7.7,Pije,33,49.4,0.028136255
29,6_3,11.9,8.9,Pije,25.2,33.7,0.028136255
29,6_1,12.3,5.1,Pila,58.5,141.2,0.029971228
29,6_2,12.9,5.4,Pila,58.1,138.9,0.029971228
29,6_3,12.6,4.6,Pila,63.5,173.9,0.029971228
29,6_1,12.5,8.1,Pipo,35.2,54.3,0.029024768
29,6_2,12.7,7.2,Pipo,43.3,76.4,0.029024768
29,6_3,12.5,8.4,Pipo,32.8,48.8,0.029024768
29,6_1,12.6,3.1,Quke,75.4,306.5,0.025799794
29,6_2,12.7,3.4,Quke,73.2,273.5,0.025799794
29,6_3,12.7,4.2,Quke,66.9,202.4,0.025799794
29,6_1,10.6,7.7,Segi,27.4,37.7,0.090274434
29,6_2,11.5,8.1,Segi,29.6,42,0.090274434
29,6_3,12.2,8.8,Segi,27.9,38.6,0.090274434
48,6_1,12.8,10.5,Abco,18,21.9,0.045093795
48,6_2,11.6,9.9,Abco,14.7,17.2,0.045093795
48,6_3,12.1,10,Abco,17.4,21,0.045093795
48,6_1,12.2,9.3,Abma,23.8,31.2,0.046296296
48,6_2,12.6,9.8,Abma,22.2,28.6,0.046296296
48,6_3,12.4,9.4,Abma,24.2,31.9,0.046296296
48,6_1,12,5.7,Cade,52.5,110.5,0.102515036
48,6_2,11,6.6,Cade,40,66.7,0.102515036
48,6_3,11.7,6.1,Cade,47.9,91.8,0.102515036
48,6_1,11.5,9.7,Pije,15.7,18.6,0.027032872
48,6_2,11,9.6,Pije,12.7,14.6,0.027032872
48,6_3,11,8.8,Pije,20,25,0.027032872
48,6_1,12.1,8,Pila,33.9,51.3,0.029024768
48,6_2,12.5,5.7,Pila,54.4,119.3,0.029024768
48,6_3,12.4,6.7,Pila,46,85.1,0.029024768
48,6_1,11.1,7.4,Pipo,33.3,50,0.02785205
48,6_2,11,7.6,Pipo,30.9,44.7,0.02785205
48,6_3,12,9.3,Pipo,22.5,29,0.02785205
48,6_1,12.5,3.4,Quke,72.8,267.6,0.025799794
48,6_2,12.5,5.1,Quke,59.2,145.1,0.025799794
48,6_3,12.2,3.3,Quke,73,269.7,0.025799794
48,6_1,11,8.7,Segi,20.9,26.4,0.08640553
48,6_2,11.3,7.9,Segi,30.1,43,0.08640553
48,6_3,11.6,9.5,Segi,18.1,22.1,0.08640553
54,6_1,11.5,9.6,Abco,16.5,19.8,0.04395218
54,6_2,11.9,10.2,Abco,14.3,16.7,0.04395218
54,6_3,12.2,10.2,Abco,16.4,19.6,0.04395218
54,6_1,11.5,9.9,Abma,13.9,16.2,0.04451567
54,6_2,11.5,9.2,Abma,20,25,0.04451567
54,6_3,11.2,9.2,Abma,17.9,21.7,0.04451567
54,6_1,12.9,5.7,Cade,55.8,126.3,0.102515036
54,6_2,11.7,5.9,Cade,49.6,98.3,0.102515036
54,6_3,11.3,5.4,Cade,52.2,109.3,0.102515036
54,6_1,11,9.4,Pije,14.5,17,0.026260504
54,6_2,11.1,10,Pije,9.9,11,0.026260504
54,6_3,10.9,9.8,Pije,10.1,11.2,0.026260504
54,6_1,12,8.9,Pila,25.8,34.8,0.028136255
54,6_2,12.3,6.4,Pila,48,92.2,0.028136255
54,6_3,12.1,7.5,Pila,38,61.3,0.028136255
54,6_1,12.3,8.6,Pipo,30.1,43,0.027032872
54,6_2,11,9.3,Pipo,15.5,18.3,0.027032872
54,6_3,10.3,7.7,Pipo,25.2,33.8,0.027032872
54,6_1,11.8,3.8,Quke,67.8,210.5,0.025531046
54,6_2,11.2,4.8,Quke,57.1,133.3,0.025531046
54,6_3,11.3,5.1,Quke,54.9,121.6,0.025531046
54,6_1,11.5,9.6,Segi,16.5,19.8,0.081734961
54,6_2,11.3,9.7,Segi,14.2,16.5,0.081734961
54,6_3,11.6,9.4,Segi,19,23.4,0.081734961
72,6_1,12.9,11.2,Abco,13.2,15.2,0.041834003
72,6_2,12.8,11.1,Abco,13.3,15.3,0.041834003
72,6_3,10.3,9.2,Abco,10.7,12,0.041834003
72,6_1,12.4,10.2,Abma,17.7,21.6,0.04395218
72,6_2,12.4,10.7,Abma,13.7,15.9,0.04395218
72,6_3,12.7,10.5,Abma,17.3,21,0.04395218
72,6_1,12.8,7,Cade,45.3,82.9,0.091642229
72,6_2,11.1,6.2,Cade,44.1,79,0.091642229
72,6_3,11.9,7.6,Cade,36.1,56.6,0.091642229
72,6_1,10.6,9.5,Pije,10.4,11.6,0.024401353
72,6_2,10.5,9.5,Pije,9.5,10.5,0.024401353
72,6_3,10.6,9.8,Pije,7.5,8.2,0.024401353
72,6_1,10.1,8.8,Pila,12.9,14.8,0.026513009
72,6_2,11.7,10.5,Pila,10.3,11.4,0.026513009
72,6_3,11.6,10.2,Pila,12.1,13.7,0.026513009
72,6_1,11.7,10.5,Pipo,10.3,11.4,0.025066845
72,6_2,12.4,11.4,Pipo,8.1,8.8,0.025066845
72,6_3,11.6,10.7,Pipo,7.8,8.4,0.025066845
72,6_1,13.3,5,Quke,62.4,166,0.024509804
72,6_2,12.4,5.7,Quke,54,117.5,0.024509804
72,6_3,12.2,5.2,Quke,57.4,134.6,0.024509804
72,6_1,12.7,11.3,Segi,11,12.4,0.079584041
72,6_2,11.9,10.7,Segi,10.1,11.2,0.079584041
72,6_3,11.8,10.3,Segi,12.7,14.6,0.079584041
96,6_1,11.4,10.3,Abco,9.6,10.7,0.040849673
96,6_2,12.4,11,Abco,11.3,12.7,0.040849673
96,6_3,11.6,10.4,Abco,10.3,11.5,0.040849673
96,6_1,10.9,9.8,Abma,10.1,11.2,0.041335979
96,6_2,10.3,8.8,Abma,14.6,17,0.041335979
96,6_3,10.7,9.7,Abma,9.3,10.3,0.041335979
96,6_1,12.2,8.4,Cade,31.1,45.2,0.087657784
96,6_2,12.4,6.5,Cade,47.6,90.8,0.087657784
96,6_3,12.5,8.6,Cade,31.2,45.3,0.087657784
96,6_1,11.5,10.3,Pila,10.4,11.7,0.026260504
96,6_2,11.4,10.3,Pila,9.6,10.7,0.026260504
96,6_3,11.9,10.8,Pila,9.2,10.2,0.026260504
96,6_1,12.3,7.5,Quke,39,64,0.021312873
96,6_2,10.5,9.1,Quke,13.3,15.4,0.021312873
96,6_3,10.8,9.8,Quke,9.3,10.2,0.021312873
120,6_1,12.5,7.5,Cade,40,66.7,0.085188551
120,6_2,11.1,9.2,Cade,17.1,20.7,0.085188551
120,6_3,11.7,8.3,Cade,29.1,41,0.085188551
120,6_1,10.1,9.3,Quke,7.9,8.6,0.019607843
120,6_2,10.1,9.2,Quke,8.9,9.8,0.019607843
120,6_3,10.1,9.4,Quke,6.9,7.4,0.019607843
144,6_1,11.6,9.7,Cade,16.4,19.6,0.079584041
144,6_2,12.6,11.6,Cade,7.9,8.6,0.079584041
144,6_3,11.4,10.3,Cade,9.6,10.7,0.079584041
