spcode,hour,day,month,time,t2ignit,sustain,combust,consum,spread,rh,T_C,type
AbCaQu,24,12,10,12:00,4.16,65.81,330,4.62,0.084,31.5,23.3,Mixture
AbCaPi,24,12,10,12:10,13.24,43.13,170,0.38,0.093,29.9,23.7,Mixture
AbPiQu,24,12,10,12:16,2.73,53.19,290,26.07,0.141,29,23.8,Mixture
CaPiQu,24,12,10,12:23,5.71,94.95,230,2.3,0.063,29.5,24,Mixture
AbCaQu,24,12,10,12:30,3,62.13,250,3.49,0.08,28.5,24,Mixture
AbCaPi,24,12,10,12:37,5.5,80.4,310,2.51,0.124,28.7,24.1,Mixture
AbPiQu,24,12,10,12:44,4.86,42.68,260,14.84,0.105,28.5,24.1,Mixture
CaPiQu,24,12,10,12:51,8.42,81.38,280,11.91,0.117,28.3,24.2,Mixture
AbPiQu,24,16,10,11:24,13.92,89.64,170,13.62,0.045,49.9,17.2,Mixture
AbCaQu,24,16,10,11:31,10.53,0,0,1.6,0,50.6,17.2,Mixture
AbCaPi,24,16,10,11:37,15.02,120.08,340,0.13,0.046,50.9,17.2,Mixture
CaPiQu,24,16,10,11:45,7.6,146.74,220,1.88,0.041,50.7,17.2,Mixture
AbPiQu,48,16,10,11:54,10.22,178.74,400,32.13,0.09,51.4,17.2,Mixture
AbPiQu,24,16,10,12:01,15.02,113.57,210,18.76,0.048,51.6,17.2,Mixture
AbCaQu,24,16,10,12:07,7.05,119.89,200,2.27,0.033,51.5,17.3,Mixture
AbCaPi,24,16,10,12:13,21.24,111.12,230,2.87,0.04,51.4,17.3,Mixture
CaPiQu,24,16,10,12:20,5.55,132.21,290,6.69,0.038,51.3,17.5,Mixture
AbPiQu,48,16,10,12:27,6.55,235.43,360,35.27,0.098,51.2,17.7,Mixture
AbCaQu,48,19,10,13:22,3.36,132.78,270,7.36,0.09,52.7,21.1,Mixture
AbPiQu,48,19,10,13:30,10.53,65.85,280,23.87,0.099,52.2,21.4,Mixture
AbCaPi,48,19,10,13:39,7.13,736.86,630,25.49,0.079,52,21.6,Mixture
CaPiQu,48,19,10,14:00,14.9,0,190,20.28,0,50,22.3,Mixture
AbCaQu,48,19,10,14:09,3.92,0,190,0.31,0,50.1,22.2,Mixture
AbPiQu,48,19,10,14:16,4.7,82.57,410,26.47,0.121,50.1,22.3,Mixture
AbCaPi,48,19,10,14:25,7.3,136.36,300,1.62,0.051,50.4,22.4,Mixture
CaPiQu,48,19,10,14:34,11.75,96.81,270,18.05,0.103,49.9,22.8,Mixture
CaPiQu,72,23,10,12:39,7.57,101.83,280,11.22,0.079,62.1,20.6,Mixture
AbCaPi,72,23,10,12:50,5.16,1027.65,690,34.58,0.084,61.1,20.7,Mixture
AbPiQu,72,23,10,13:17,7.95,573.63,670,41.07,0.159,56.5,21.7,Mixture
AbCaQu,72,23,10,13:35,5.6,74.45,360,7,0.134,51.4,22,Mixture
CaPiQu,72,23,10,13:44,5.4,98.24,320,12.78,0.112,50.7,22.3,Mixture
AbCaPi,72,23,10,13:51,5.02,175.93,330,9.42,0.08,48.9,22.1,Mixture
AbPiQu,72,23,10,14:02,8.56,74.02,280,6.36,0.122,47.8,22.4,Mixture
AbCaQu,72,23,10,14:10,6.78,53.09,260,6.09,0.151,47.1,22.4,Mixture
AbCaPi,96,30,6,13:45,5.13,984.31,790,93.73,0.171,45.2,31.3,Mixture
AbCaQu,96,30,6,14:11,0.95,1047.15,920,89.49,0.218,40.1,32.9,Mixture
AbPiQu,96,30,6,14:36,1.9,474.66,1070,88.67,0.407,37.2,33.7,Mixture
CaPiQu,96,30,6,14:53,2.11,586.34,1020,81.71,0.352,37.6,-15.9,Mixture
AbCaPi,48,30,6,15:12,9.6,163.84,460,4.67,0.073,36.7,34.2,Mixture
AbCaQu,48,30,6,15:25,3.95,195.26,510,15.09,0.389,35.8,33.8,Mixture
AbPiQu,48,30,6,15:36,6,134.56,440,37.96,0.394,36.7,33.4,Mixture
CaPiQu,48,30,6,15:49,4.13,105.32,290,6.29,0.199,36.8,33.1,Mixture
AbCaPi,96,30,6,15:56,3.55,817.94,910,91.18,0.215,36.8,33.2,Mixture
AbCaQu,96,30,6,16:18,2.83,649.35,850,88.27,0.274,34.2,34.1,Mixture
AbPiQu,96,30,6,16:39,3.42,738.57,1040,89.2,0.464,37.2,33.8,Mixture
CaPiQu,96,30,6,17:02,4.26,474.56,990,78.96,0.365,41.1,32.6,Mixture
CaPiQu,48,30,6,17:19,6.6,97.56,430,6.84,0.256,48.9,30.8,Mixture
AbCaQu,48,30,6,17:28,4.4,71.25,220,5.98,0.126,46.5,30.9,Mixture
AbPiQu,48,30,6,17:35,3.75,115.3,480,34.27,0.399,44.6,30.6,Mixture
AbCaPi,48,30,6,17:43,7.28,124.49,310,3.31,0.12,43.2,30.6,Mixture
CaPiQu,24,7,7,10:54,7.18,39.19,140,0.29,0.077,48.5,29.4,Mixture
AbCaQu,24,7,7,11:00,4.15,48.74,250,5.87,0.164,47.8,29.6,Mixture
