spcode,moisture,day,month,time,t2ignit,ignit,sustain,combust,consum,spread,rh,temp
Pila,20,31,8,12:55,4.78,1,116.47,390,2.73,0.773,32,86.8
Pila,25,23,4,11:55,18.42,0,73,0,6.1,0,73.4,65
Pila,25,23,4,12:23,24.26,0,29.48,,11,0,73,65.5
Pila,25,27,7,11:50,4.73,,366.9,660,25.3,1.717,45.5,92.8
Pila,25,27,7,14:30,7.12,1,712.3,680,79.4,2.267,36.7,98.5
Pila,25,3,8,11:46,5.5,1,1949.5,520,24.9,0.251,48,87.8
Pila,25,3,8,14:05,12.67,0,0,0,0,0,44.4,93.3
Pila,30,11,9,11:47,5.8,0,0,0,0,0,42.6,81.3
Pila,30,11,9,13:25,5.5,0,0,0,0,0,37.7,85.1
Pipo,10,27,7,13:17,5.37,1,1426.6,810,88.3,1.289,40.7,96.1
Pipo,10,27,7,15:58,2.61,1,841.7,920,84.9,1.967,32.8,99.7
Pipo,10,14,8,11:38,7.88,1,788.63,1050,93.82,2.049,47,87.5
Pipo,10,14,8,13:56,6.8,1,844.01,1010,91.58,2.285,34.9,96.8
Pipo,10,17,8,14:47,4.78,1,677,1100,91.18,2.473,32.1,91.3
Pipo,15,25,8,11:15,3.95,1,861.86,980,73.6,1.954,57.1,81.1
Pipo,15,25,8,12:48,5.03,1,865.7,930,81.02,1.833,46,88.7
Pipo,15,31,8,12:19,5.23,1,773.35,920,83.89,2.203,38.1,84.3
Pipo,15,31,8,14:35,3.45,1,606.49,1070,92.91,0.818,28.1,90.5
Pipo,15,11,9,12:57,5.61,1,692.75,1040,90.8,2.757,42.1,83.6
Pipo,20,29,7,13:29,8.03,1,1213.8,850,82.9,1.379,47.6,90.2
Pipo,20,29,7,14:38,14.85,1,1187.9,790,83.2,1.407,41.2,95.2
Pipo,20,3,8,12:48,13.34,1,563.88,630,10.7,0.834,46.1,90.7
Pipo,20,3,8,14:25,4.53,1,842.55,980,85,1.94,43.2,92.2
Pipo,20,11,9,12:20,5.9,1,768.14,920,94.49,2.203,43.3,82.1
Pipo,25,11,9,11:17,7.35,1,1401.61,750,66.87,1.164,41.2,80.9
Pipo,25,11,9,13:36,7.18,1,842.82,810,82.67,1.906,38.8,84.6
Pipo,30,23,4,12:08,22.77,1,77.87,150,1.4,1.81,73.6,65.3
Pipo,30,23,4,12:42,16.47,0,66.56,0,2.2,0,72.9,65.7
Pipo,30,3,8,12:06,10.72,1,1470.69,790,85.8,1.084,46.1,88.3
Pipo,30,3,8,15:15,3.78,1,989.34,950,85.9,1.955,41.4,93.8
Quke,10,21,7,12:57,3.05,1,359.46,660,71.8,4.77,55.1,84.9
Quke,10,29,7,13:14,1.58,1,260.5,1070,92.2,6.696,48,89.6
Quke,10,29,7,14:25,2.3,1,184.8,1060,94.2,8.646,41.8,95
Quke,10,31,8,11:16,2.36,1,432.9,800,95.04,4.454,46.3,79.7
Quke,10,31,8,13:51,2.61,1,278.48,770,92.4,5.87,31.7,88.2
Quke,15,21,7,11:15,4,1,356.61,970,72.1,4.96,60.1,79.4
Quke,15,21,7,15:07,3.25,1,403.71,740,73.1,4.03,49.7,89.7
Quke,15,11,8,10:53,5.95,1,289.96,860,93.2,5.461,57.1,83.2
Quke,15,11,8,11:32,5.15,1,260,920,91.3,6.01,51.4,87.2
Quke,15,11,8,12:30,4.23,1,337.58,900,91.15,5.591,48.2,89.6
Quke,20,4,5,10:48,2.78,1,363.55,700,10.5,1.66,65,71.2
Quke,20,26,5,12:39,3.71,1,66.33,320,17.1,1.6,38.3,75.1
Quke,20,26,5,13:42,1.64,1,258.83,400,51.3,3.69,34.7,77.9
Quke,20,11,8,11:16,6.05,1,313.73,840,92.55,4.219,53.6,86.7
Quke,20,11,8,12:00,2.66,1,292.44,790,90.55,5.357,49.6,88.5
Quke,25,17,8,14:13,1.91,1,323.75,860,83.75,5.165,35.6,87.7
Quke,25,17,8,15:27,2.18,1,299.26,880,82.1,5.23,33,91.1
Quke,25,20,8,10:59,1.83,1,288.49,920,92.85,5.688,47.4,72.9
Quke,25,20,8,13:20,2.23,1,366.04,840,77.85,4.55,49.1,75.3
Quke,25,20,8,14:39,2.38,1,653.43,730,68.8,2.682,45.6,80.4
Quke,30,27,7,10:31,4.41,1,274.6,1110,88.8,7.022,54.3,85.1
Quke,30,27,7,13:49,1.58,1,249.4,1070,88.9,8.591,37.8,98
Quke,30,17,8,13:48,4.05,1,416.99,670,78.2,3.764,38.5,86.2
Quke,30,17,8,15:06,2.73,1,276.94,840,70,5.864,31.2,93
Quke,30,20,8,11:41,6.21,1,484.74,690,14.15,3.292000439,46.3,76.4
Quke,35,20,8,12:32,2.5,1,167.21,540,11.7,2.033,48.6,76
Quke,35,20,8,14:11,8.42,1,98.33,550,5.4,2.848,46.5,78.2
Quke,35,31,8,13:07,2.71,0,0,0,0,0,30,86.9
Quke,35,31,8,14:52,2.73,1,96.91,350,10.1,4.643,26.3,92.8
Quke,40,26,5,12:10,9.3,1,154.37,410,17.2,2.76,40.4,75.1
Quke,40,31,8,13:35,8.33,1,400.12,480,14.4,1.546,31.8,87.8
Quke,40,31,8,15:19,8.1,1,88.66,380,3.5,1.692,28.3,91.3
Segi,10,4,5,12:11,15.9,1,678.48,250,19.8,0.39,60.2,73.8
Segi,10,4,5,14:15,9.77,1,842.48,480,19.9,0.32,49.1,77.4
Segi,10,27,7,12:06,7.3,,2334.4,540,62.6,0.488,46.7,92.7
Segi,10,27,7,14:56,9.98,1,2202.9,640,89.4,0.74,34.7,98.6
Segi,10,3,8,10:46,19.42,1,1168.34,460,19.3,0.368,57.1,83.4
Segi,15,31,8,11:50,8.7,0,0,0,0,0,38.6,85.4
Segi,15,31,8,14:02,8.3,0,0,0,0,0,28.6,90.1
Segi,15,11,9,10:56,7.65,0,0,0,0,0,39.4,80.5
Segi,20,20,8,11:11,7.73,0,0,0,0,0,46.7,74.2
Segi,20,20,8,13:33,13.5,0,0,0,0,0,47.4,76.5
Segi,20,25,8,12:08,10.05,0,0,0,0,0,49.7,87.1
Segi,30,29,7,14:51,0,0,0,0,0,0,40.3,95.8
Segi,30,3,8,13:22,15.97,0,0,0,0,0,45.1,92.6
Segi,30,3,8,15:02,15.02,0,0,150,0,0,40.7,94.4
