"Plot Title: 1283020 "
"#","Time, GMT-05:00","K-Type, °C","Started","Bad Battery","Host Connected","Stopped","End Of File"
1,05/04/15 10:40:13.661 AM,19.93,Logged,,,,
2,05/04/15 10:40:14.661 AM,19.93,,,,,
3,05/04/15 10:40:15.661 AM,19.93,,,,,
4,05/04/15 10:40:16.661 AM,19.93,,,,,
5,05/04/15 10:40:17.661 AM,19.93,,,,,
6,05/04/15 10:40:18.661 AM,19.93,,,,,
7,05/04/15 10:40:19.661 AM,19.93,,,,,
8,05/04/15 10:40:20.661 AM,19.93,,,,,
9,05/04/15 10:40:21.661 AM,19.93,,,,,
10,05/04/15 10:40:22.661 AM,19.60,,,,,
11,05/04/15 10:40:23.661 AM,19.93,,,,,
12,05/04/15 10:40:24.661 AM,19.93,,,,,
13,05/04/15 10:40:25.661 AM,19.93,,,,,
14,05/04/15 10:40:26.661 AM,19.93,,,,,
15,05/04/15 10:40:27.661 AM,19.93,,,,,
16,05/04/15 10:40:28.661 AM,19.93,,,,,
17,05/04/15 10:40:29.661 AM,19.93,,,,,
18,05/04/15 10:40:30.661 AM,19.93,,,,,
19,05/04/15 10:40:31.661 AM,19.93,,,,,
20,05/04/15 10:40:32.661 AM,19.93,,,,,
21,05/04/15 10:40:33.661 AM,19.93,,,,,
22,05/04/15 10:40:34.661 AM,19.93,,,,,
23,05/04/15 10:40:35.661 AM,19.93,,,,,
24,05/04/15 10:40:36.661 AM,19.93,,,,,
25,05/04/15 10:40:37.661 AM,19.93,,,,,
26,05/04/15 10:40:38.661 AM,19.93,,,,,
27,05/04/15 10:40:39.661 AM,19.93,,,,,
28,05/04/15 10:40:40.661 AM,19.93,,,,,
29,05/04/15 10:40:41.661 AM,19.93,,,,,
30,05/04/15 10:40:42.661 AM,19.93,,,,,
31,05/04/15 10:40:43.661 AM,19.93,,,,,
32,05/04/15 10:40:44.661 AM,19.93,,,,,
33,05/04/15 10:40:45.661 AM,19.93,,,,,
34,05/04/15 10:40:46.661 AM,19.93,,,,,
35,05/04/15 10:40:47.661 AM,19.93,,,,,
36,05/04/15 10:40:48.661 AM,19.93,,,,,
37,05/04/15 10:40:49.661 AM,19.93,,,,,
38,05/04/15 10:40:50.661 AM,19.93,,,,,
39,05/04/15 10:40:51.661 AM,19.93,,,,,
40,05/04/15 10:40:52.661 AM,19.93,,,,,
41,05/04/15 10:40:53.661 AM,19.93,,,,,
42,05/04/15 10:40:54.661 AM,19.93,,,,,
43,05/04/15 10:40:55.661 AM,19.93,,,,,
44,05/04/15 10:40:56.661 AM,19.93,,,,,
45,05/04/15 10:40:57.661 AM,19.93,,,,,
46,05/04/15 10:40:58.661 AM,19.93,,,,,
47,05/04/15 10:40:59.661 AM,19.93,,,,,
48,05/04/15 10:41:00.661 AM,19.93,,,,,
49,05/04/15 10:41:01.661 AM,19.93,,,,,
50,05/04/15 10:41:02.661 AM,20.27,,,,,
51,05/04/15 10:41:03.661 AM,19.93,,,,,
52,05/04/15 10:41:04.661 AM,19.93,,,,,
53,05/04/15 10:41:05.661 AM,19.93,,,,,
54,05/04/15 10:41:06.661 AM,19.93,,,,,
55,05/04/15 10:41:07.661 AM,20.27,,,,,
56,05/04/15 10:41:08.661 AM,20.27,,,,,
