tag,spcode,year,alt,asp,li,lf,ldrate,lti,ltf,ltdrate,wi,wf,wdrate,display.name
41,Abco,1,l,s,58.685,21.13666667,1.021174869,81.8592514,23.69336382,1.239806325,2,1.5,0.287682072,A. concolor
42,Abco,2,l,s,107.61,18.28862069,0.886117267,112.09375,15.15398303,1.000536085,2,2.4,-0.091160778,A. concolor
43,Abco,1,l,n,61.045,32.5737931,0.628103225,74.67115964,34.54087842,0.770950431,2,1.8,0.105360516,A. concolor
44,Abco,2,l,n,47.83666667,21.42282051,0.401667849,57.3738619,22.42485953,0.469709344,2,1.6,0.111571776,A. concolor
45,Abco,1,h,n,52.98,30.42363636,0.554694666,66.80091859,25.43132854,0.965735011,2,1.8,0.105360516,A. concolor
46,Abco,2,h,n,43.14,22.61605263,0.322895347,56.27275707,25.57627898,0.394272605,2,1.6,0.111571776,A. concolor
47,Abco,1,h,s,65.69666667,20.92382609,1.144159675,109.628244,25.22781841,1.469147751,2,1.5,0.287682072,A. concolor
48,Abco,2,h,s,59.24,20.84023438,0.522355763,75.30188826,28.04458072,0.493854899,2,1,0.34657359,A. concolor
49,Pije,1,m,s,189,153.8758333,0.205601015,283.9322875,180.3725086,0.453711581,2,2.2,-0.09531018,P. jeffreyi
50,Pije,2,m,n,201.2857143,50.42105263,0.692158282,252.9438185,33.06987969,1.017272257,2,1.8,0.052680258,P. jeffreyi
51,Pije,1,m,n,167.5,95.62913043,0.560505866,276.3724664,155.8552609,0.57282171,2,1.9,0.051293294,P. jeffreyi
52,Pije,2,m,s,168.7272727,75.61538462,0.401311939,240.3991548,58.13642355,0.709754154,2,1.2,0.255412812,P. jeffreyi
53,Pije,1,l,s,169.2,111.8994444,0.413480797,246.6624335,119.3079314,0.726312926,2,2.1,-0.048790164,P. jeffreyi
54,Pije,0,l,s,169.8571429,NA,NA,241.215024,NA,NA,NA,NA,NA,P. jeffreyi
55,Pije,2,l,n,164.2727273,95.82608696,0.269496532,284.7227318,78.85692556,0.641940347,2,1.7,0.081259465,P. jeffreyi
56,Pije,1,l,n,150.8181818,129.1246667,0.155296671,229.7636521,169.8773562,0.301974438,2,1.9,0.051293294,P. jeffreyi
57,Pije,1,h,n,186.7777778,117.9176471,0.459933082,344.5353435,115.8832472,1.089613484,2,2,0,P. jeffreyi
58,Pije,2,h,n,159.2727273,135.5655556,0.080581335,247.5968435,127.9582381,0.330048923,2,1.7,0.081259465,P. jeffreyi
59,Pije,1,h,s,187.625,59.21071429,1.15334278,293.8511391,72.60893297,1.397985351,2,1.8,0.105360516,P. jeffreyi
60,Pije,2,h,s,186,37.63554348,0.798898882,258.5345059,55.29914821,0.771135832,2,1.5,0.143841036,P. jeffreyi
61,Pipo,2,m,s,163.9,43.95368421,0.658060019,278.5488969,41.10223655,0.95676554,2,1.7,0.081259465,P. ponderosa
62,Pipo,0,m,n,172.5,NA,NA,392.6523127,NA,NA,NA,NA,NA,P. ponderosa
63,Pipo,1,m,n,177.6666667,77.89277778,0.824575898,335.1482724,169.989511,0.678836303,2,1.8,0.105360516,P. ponderosa
64,Pipo,1,m,s,182.5,110.5536842,0.50124894,308.1469548,151.638767,0.709075636,2,NA,NA,P. ponderosa
65,Pipo,1,l,s,185.5,96.51565217,0.653349688,331.2162791,112.0609784,1.0837284,2,1.9,0.051293294,P. ponderosa
