tag,spcode,alt,asp,year,l,w,t
4,Quke,m,s,1,18.8,8.81,0.2
4,Quke,m,s,1,23.33,7.28,0.17
4,Quke,m,s,1,25.3,6.8,0.16
4,Quke,m,s,1,13.67,9.91,0.19
4,Quke,m,s,1,17.05,12.35,0.12
4,Quke,m,s,1,13.18,14.53,0.1
4,Quke,m,s,1,16.46,6.97,0.14
4,Quke,m,s,1,10.88,10.9,0.12
4,Quke,m,s,1,8.58,11.45,0.08
4,Quke,m,s,1,14.43,5.69,0.16
4,Quke,m,s,1,11.91,5.82,0.11
4,Quke,m,s,1,13.34,4.41,0.12
4,Quke,m,s,1,13.02,5.28,0.11
4,Quke,m,s,1,12.37,4.31,0.07
4,Quke,m,s,1,10.67,6.74,0.08
4,Quke,m,s,1,10.82,9.08,0.1
4,Quke,m,s,1,9.91,4.92,0.09
4,Quke,m,s,1,10.93,7.22,0.14
4,Quke,m,s,1,6.65,3.25,0.08
4,Quke,m,s,1,11.3,6.02,0.12
4,Quke,m,s,1,10.15,5.79,0.06
4,Quke,m,s,1,6.24,4.8,0.09
4,Quke,m,s,1,5.62,4.18,0.18
4,Quke,m,s,1,5.05,2.79,0.1
4,Quke,m,s,1,5.79,4.82,0.14
4,Quke,m,s,1,7.11,3.41,0.12
4,Quke,m,s,1,4.74,3.23,0.13
4,Quke,m,s,1,4.22,3.93,0.15
4,Quke,m,s,1,5.1,3.92,0.12
4,Quke,m,s,1,5.06,3.44,0.07
4,Quke,m,s,1,4.95,2.61,0.12
4,Quke,m,s,1,4.99,2.92,0.14
4,Quke,m,s,1,3.98,2.62,0.11
4,Quke,m,s,1,5.44,3.83,0.11
4,Quke,m,s,1,4.27,4.25,0.09
4,Quke,m,s,1,4.53,2.82,0.12
4,Quke,m,s,1,3.45,2.79,0.07
4,Quke,m,s,1,4.2,1.95,0.11
4,Quke,m,s,1,4.42,2.28,0.12
4,Quke,m,s,1,3.25,2.37,0.09
4,Quke,m,s,1,3.49,2.93,0.11
4,Quke,m,s,1,4.05,2.34,0.1
4,Quke,m,s,1,2.95,2.57,0.09
4,Quke,m,s,1,3.96,2.3,0.13
4,Quke,m,s,1,3.28,2.23,0.09
4,Quke,m,s,1,3.2,2.35,0.12
4,Quke,m,s,1,2.83,1.87,0.13
4,Quke,m,s,1,2.98,2.7,0.07
4,Quke,m,s,1,3.02,2.64,0.11
4,Quke,m,s,1,4.49,1.37,0.08
7,Quke,l,n,1,97.46,48.43,0.18
7,Quke,l,n,1,96.37,32.07,0.17
7,Quke,l,n,1,84.12,32.33,0.18
7,Quke,l,n,1,88.21,36.62,0.14
7,Quke,l,n,1,66.98,35.86,0.16
7,Quke,l,n,1,84.24,37.34,0.76
7,Quke,l,n,1,58.86,31.21,0.16
7,Quke,l,n,1,71.24,31.3,0.18
7,Quke,l,n,1,53.76,37.04,0.33
7,Quke,l,n,1,64.05,27.34,0.17
7,Quke,l,n,1,46.44,43.08,0.15
7,Quke,l,n,1,55.54,19.16,0.15
7,Quke,l,n,1,44.64,17.25,0.17
7,Quke,l,n,1,46.14,15.58,0.12
7,Quke,l,n,1,48.62,8.04,0.21
7,Quke,l,n,1,37.68,16.69,0.24
7,Quke,l,n,1,35.65,14.46,0.12
7,Quke,l,n,1,35.63,41.3,0.15
7,Quke,l,n,1,32.17,29.7,0.16
7,Quke,l,n,1,34.35,16.26,0.27
7,Quke,l,n,1,31,10.22,0.14
7,Quke,l,n,1,28.37,11.3,0.18
7,Quke,l,n,1,29.1,22.88,0.14
7,Quke,l,n,1,33.28,10.32,0.21
7,Quke,l,n,1,31.37,1.09,1
7,Quke,l,n,1,21.61,19.31,0.1
7,Quke,l,n,1,26.08,12.82,0.09
7,Quke,l,n,1,22.19,14.82,0.06
7,Quke,l,n,1,20.24,13.81,0.21
7,Quke,l,n,1,24.22,16.93,0.08
7,Quke,l,n,1,20.34,25.15,0.28
7,Quke,l,n,1,23.27,16.57,0.42
7,Quke,l,n,1,16.44,14.72,0.19
7,Quke,l,n,1,21.71,14.7,0.2
7,Quke,l,n,1,17.62,11.25,0.09
7,Quke,l,n,1,15.69,9.93,0.17
7,Quke,l,n,1,15.57,9.49,0.09
7,Quke,l,n,1,12.46,9.98,0.14
7,Quke,l,n,1,17.81,4.89,0.16
7,Quke,l,n,1,17.69,5.28,0.15
7,Quke,l,n,1,16.32,4.98,0.18
7,Quke,l,n,1,15.22,8.28,0.07
7,Quke,l,n,1,12.2,8.32,0.18
7,Quke,l,n,1,11.98,4.95,0.13
7,Quke,l,n,1,13.9,3.48,0.21
7,Quke,l,n,1,10.81,6.16,0.13
7,Quke,l,n,1,10.83,4.81,0.14
7,Quke,l,n,1,11.69,7.6,0.1
7,Quke,l,n,1,9.33,7.28,0.21
7,Quke,l,n,1,16.08,4.8,0.1
7,Quke,l,n,1,12.16,2.89,0.12
7,Quke,l,n,1,7.23,6.84,0.16
7,Quke,l,n,1,6.32,2.7,0.11
7,Quke,l,n,1,9.07,5.8,0.13
7,Quke,l,n,1,9.66,4.64,0.08
7,Quke,l,n,1,8.94,4.62,0.22
7,Quke,l,n,1,8.39,6.56,0.09
7,Quke,l,n,1,7.47,5.47,0.14
7,Quke,l,n,1,7.9,5.42,0.13
7,Quke,l,n,1,9.6,5.33,0.1
7,Quke,l,n,1,8.16,5.21,0.1
7,Quke,l,n,1,8.87,5.79,0.13
7,Quke,l,n,1,8.2,4.33,0.15
7,Quke,l,n,1,6.88,6.3,0.08
7,Quke,l,n,1,8.67,5.82,0.08
7,Quke,l,n,1,8.07,6.19,0.13
7,Quke,l,n,1,9.62,3.8,0.08
7,Quke,l,n,1,7.69,5.69,0.24
7,Quke,l,n,1,6.59,5.35,0.13
7,Quke,l,n,1,8.39,4.99,0.12
7,Quke,l,n,1,8.28,2.98,0.09
7,Quke,l,n,1,7.77,4.04,0.09
7,Quke,l,n,1,7.66,4.93,0.1
7,Quke,l,n,1,6.48,3.63,0.09
7,Quke,l,n,1,6.21,3.18,0.15
7,Quke,l,n,1,5.99,4.39,0.21
7,Quke,l,n,1,4.76,4.01,0.13
7,Quke,l,n,1,7.38,5.73,0.11
7,Quke,l,n,1,7.82,3.51,0.18
7,Quke,l,n,1,6.06,4.61,0.11
7,Quke,l,n,1,8.04,3.89,0.08
7,Quke,l,n,1,6.89,2.72,0.15
7,Quke,l,n,1,5.8,4.92,0.1
7,Quke,l,n,1,6.03,4.33,0.11
7,Quke,l,n,1,5.32,4.22,0.07
7,Quke,l,n,1,8.04,3.02,0.08
7,Quke,l,n,1,5.69,4.31,0.13
7,Quke,l,n,1,5.4,4.62,0.12
7,Quke,l,n,1,8.73,2.53,0.1
7,Quke,l,n,1,6.33,4.25,0.08
7,Quke,l,n,1,6.31,4.37,0.11
7,Quke,l,n,1,7.04,3.26,0.08
7,Quke,l,n,1,6.98,4.84,0.07
7,Quke,l,n,1,7.74,3.04,0.1
7,Quke,l,n,1,4.73,3.57,0.06
7,Quke,l,n,1,6.74,2.15,0.12
7,Quke,l,n,1,5.67,4.07,0.07
7,Quke,l,n,1,5.7,3.63,0.13
7,Quke,l,n,1,6.44,2.75,0.09
7,Quke,l,n,1,4.73,3.08,0.16
7,Quke,l,n,1,8.46,3.18,0.15
7,Quke,l,n,1,3.78,3.4,0.11
7,Quke,l,n,1,4.62,2.58,0.09
7,Quke,l,n,1,4.95,3.99,0.1
7,Quke,l,n,1,5.57,2.19,0.04
7,Quke,l,n,1,5.89,3.89,0.1
7,Quke,l,n,1,6.76,2.44,0.03
7,Quke,l,n,1,6.33,3.37,0.14
7,Quke,l,n,1,5.08,3.97,0.09
7,Quke,l,n,1,5.19,3.84,0.13
7,Quke,l,n,1,4.04,3.12,0.09
7,Quke,l,n,1,5.84,2.95,0.07
7,Quke,l,n,1,5.66,2.93,0.09
7,Quke,l,n,1,5.06,4.74,0.07
7,Quke,l,n,1,5.7,3.68,0.11
14,Cade,m,n,1,31.29,8.9,1.04
14,Cade,m,n,1,18.75,7.22,1.73
14,Cade,m,n,1,23.88,11.5,1.04
14,Cade,m,n,1,24.13,6.68,0.94
14,Cade,m,n,1,36.64,25.29,1.69
14,Cade,m,n,1,43.1,15.88,2.37
