tr,spcode,bulk,ignit,sustain,spread,combus,consum,b75.numsecs100,b75.heat100,leaf.length,leaf.area,mixture
211,AbmaQukeSegi,0.025016667,1.1,643.8,0.254,830,94.1372,538.5,2832,46.61891445,772.2666304,TRUE
212,AbmaQukeSegi,0.028577778,1.1,738.9,0.2341,750,91.8018,625.5,2775,46.61891445,772.2666304,TRUE
213,AbmaQukeSegi,0.023566013,1.1,691.5,0.3056,960,85.4227,801.5,4623.5,46.61891445,772.2666304,TRUE
15,Cade,0.100755556,3.9,958.9,0.1564,390,82.7525,179,778,68.57393894,849.7578893,FALSE
16,Cade,0.100022222,4.8,1958.7,0.0815,470,77.0273,712,3395.5,68.57393894,849.7578893,FALSE
37,Cade,0.04451358,2.8,1589,0.1042,700,86.8205,612,3112.5,68.57393894,849.7578893,FALSE
38,Cade,0.050033333,2.8,1938.7,0.079,500,72.2629,782,4325.5,68.57393894,849.7578893,FALSE
39,Cade,0.050044444,3.9,1321,0.1204,630,80.3064,909.5,4290.5,68.57393894,849.7578893,FALSE
40,Cade,0.057168254,1.4,1429.5,0.1095,410,50.6442,505,1791,68.57393894,849.7578893,FALSE
53,CadePijePila,0.028584127,1.9,773.8,0.2223,810,85.8063,774,4378,99.49464631,1038.304871,TRUE
175,CadePijePila,0.028603175,1.3,487.7,0.3399,870,95.071,512,2603,99.49464631,1038.304871,TRUE
67,CadePijePila,0.02468642,1.2,572.2,0.3542,890,88.7236,650.5,3103,99.49464631,1038.304871,TRUE
136,CadePijePila,0.02222716,0.9,655.8,0.3388,880,90.3581,592.5,2944,99.49464631,1038.304871,TRUE
137,CadePijePila,0.025022222,0.8,580.7,0.3196,950,91.8463,841,4430,99.49464631,1038.304871,TRUE
55,CadePijePipo,0.020004444,1.3,637.2,0.2977,1010,91.0909,671.5,3287,136.9542759,1330.027487,TRUE
99,CadePijePipo,0.020022222,0.9,634.6,0.3264,980,88.8124,556,2392.5,136.9542759,1330.027487,TRUE
141,CadePijePipo,0.02222716,1.4,570.8,0.3196,1000,90.7132,777,3935.5,136.9542759,1330.027487,TRUE
142,CadePijePipo,0.022237037,1.3,647.4,0.3572,940,90.5841,772,4051,136.9542759,1330.027487,TRUE
178,CadePijePipo,0.025005556,1,581.4,0.3282,900,88.958,377,1596,136.9542759,1330.027487,TRUE
70,CadePijeQuke,0.020017778,1.1,414.9,0.519,1070,91.2078,536,3326,93.98673471,1462.70179,TRUE
122,CadePijeQuke,0.022207407,0.8,461,0.5312,970,91.1274,704,3233,93.98673471,1462.70179,TRUE
189,CadePijeQuke,0.020004444,1,461.3,0.523,1010,90.4021,594,2459,93.98673471,1462.70179,TRUE
121,CadePijeSegi,0.028653968,1.2,720.9,0.2284,870,91.0924,659.5,2648,94.20830947,952.2850692,TRUE
132,CadePijeSegi,0.028571429,1.2,676.5,0.249,860,91.0222,806.5,3875,94.20830947,952.2850692,TRUE
133,CadePijeSegi,0.028596825,1,688.6,0.2531,820,91.0968,714,3481.5,94.20830947,952.2850692,TRUE
134,CadePijeSegi,0.02222716,1.7,703.7,0.301,950,91.7352,441,1790.5,94.20830947,952.2850692,TRUE
135,CadePijeSegi,0.025033333,1.6,655.1,0.2796,980,90.3018,685,2699.5,94.20830947,952.2850692,TRUE
54,CadePilaPipo,0.02225679,1.2,621.5,0.3013,910,88.884,678,4271.5,113.9909426,1005.744512,TRUE
68,CadePilaPipo,0.022237037,1.4,574.8,0.3589,830,89.185,751,4456,113.9909426,1005.744512,TRUE
176,CadePilaPipo,0.025011111,1,609.6,0.3095,790,89.2936,572.5,2320.5,113.9909426,1005.744512,TRUE
214,CadePilaQuke,0.030776068,0.8,860.9,0.1958,750,85.7143,668,3042.5,71.02340137,1138.418815,TRUE
215,CadePilaQuke,0.033355556,1.1,836.7,0.2119,710,90.3842,799,4084.5,71.02340137,1138.418815,TRUE
216,CadePilaQuke,0.028609524,1,720.4,0.2413,790,85.8633,789.5,3983,71.02340137,1138.418815,TRUE
138,CadePilaSegi,0.028584127,1.1,581.8,0.3275,830,90.3598,621,2536,71.24497614,628.0020943,TRUE
139,CadePilaSegi,0.03639596,1.3,830,0.2254,810,87.9663,781,3976,71.24497614,628.0020943,TRUE
140,CadePilaSegi,0.033340741,1.1,626.1,0.2641,840,91.6463,704,3233,71.24497614,628.0020943,TRUE
160,CadePilaSegi,0.039973333,1,847.1,0.1886,750,79.2084,741,3071,71.24497614,628.0020943,TRUE
177,CadePilaSegi,0.033355556,1,682,0.256,810,90.8728,658.5,3305.5,71.24497614,628.0020943,TRUE
77,CadePipoQuke,0.02222716,1.5,581.5,0.3942,1060,90.0467,686.5,3652,108.483031,1430.141432,TRUE
191,CadePipoQuke,0.01819798,0.9,343,0.6582,1130,92.0515,524,2696.5,108.483031,1430.141432,TRUE
203,CadePipoQuke,0.020008889,1.1,374,0.4854,1060,91.9147,592.5,2728,108.483031,1430.141432,TRUE
161,CadePipoSegi,0.026696296,1.3,654,0.2717,800,87.192,776.5,2895.5,108.7046058,919.7247108,TRUE
162,CadePipoSegi,0.026678519,1,664.3,0.2742,860,89.538,781,4029.5,108.7046058,919.7247108,TRUE
187,CadePipoSegi,0.025016667,1.3,624.6,0.2934,910,93.4044,444.5,1853.5,108.7046058,919.7247108,TRUE
1,Pije,0.020013333,1.4,490.4,0.3157,1140,95.5807,689,3292.5,149.4,1619.002824,FALSE
2,Pije,0.020022222,3.5,458.3,0.3378,1070,94.9168,543,2183.5,149.4,1619.002824,FALSE
3,Pije,0.019973333,2.2,481,0.3266,1030,95.0823,737.5,3513,149.4,1619.002824,FALSE
4,Pije,0.020004444,2.8,478,0.3322,1020,95.4232,625.5,2559.5,149.4,1619.002824,FALSE
5,Pije,0.020008889,3.5,529.9,0.2923,1040,96.1795,598,3066.5,149.4,1619.002824,FALSE
72,PijePilaQuke,0.02004,1.6,564.2,0.3633,930,91.3728,722,4290,97.96542173,1394.833793,TRUE
218,PijePilaQuke,0.025005556,0.9,639.3,0.2767,840,88.8469,624.5,3448.5,97.96542173,1394.833793,TRUE
219,PijePilaQuke,0.022237037,2.1,530.4,0.3375,890,91.1614,533,2275,97.96542173,1394.833793,TRUE
57,PijePilaSegi,0.028584127,2.3,861.6,0.2058,760,91.1373,879,3709.5,98.1869965,884.4170726,TRUE
79,PijePilaSegi,0.033355556,1.3,592.1,0.3136,920,92.3829,619,2841,98.1869965,884.4170726,TRUE
192,PijePilaSegi,0.028577778,1,694.9,0.2374,880,92.4683,573,3086.5,98.1869965,884.4170726,TRUE
73,PijePipoQuke,0.015391453,2,394.9,0.4148,1150,92.47,549.5,3888.5,135.4250514,1686.55641,TRUE
220,PijePipoQuke,0.01820202,0.8,375.8,0.4502,1060,95.2275,410,1906,135.4250514,1686.55641,TRUE
221,PijePipoQuke,0.016677778,1.1,398.7,0.4528,1050,95.0033,477,2532,135.4250514,1686.55641,TRUE
59,PijePipoSegi,0.020004444,1.4,582.9,0.2776,970,91.4686,740.5,4263.5,135.6466261,1176.139689,TRUE
81,PijePipoSegi,0.022232099,3.9,592.3,0.3262,940,90.6042,755.5,4096,135.6466261,1176.139689,TRUE
100,PijePipoSegi,0.02,1.2,527.5,0.4435,1080,91.0889,637.5,2854,135.6466261,1176.139689,TRUE
