tag,spcode,alt,asp,year,l,w,t
1,Quke,m,s,0,131.47,74.06,0.18
1,Quke,m,s,0,89.43,41.7,0.19
1,Quke,m,s,0,65.6,16.09,0.45
1,Quke,m,s,0,91.26,57.55,0.4
1,Quke,m,s,0,57.29,58.16,0.25
1,Quke,m,s,0,75.28,25.46,0.29
1,Quke,m,s,0,25.89,14.46,0.25
1,Quke,m,s,0,63.39,46.99,0.41
1,Quke,m,s,0,56.1,20.78,0.08
1,Quke,m,s,0,15.27,14.9,0.2
1,Quke,m,s,0,37.17,51.89,0.26
1,Quke,m,s,0,55.14,46.78,0.13
2,Quke,m,n,0,66.41,61.18,0.18
2,Quke,m,n,0,90.66,62.14,0.22
2,Quke,m,n,0,93.13,49.81,0.14
2,Quke,m,n,0,87.41,41.6,0.25
2,Quke,m,n,0,80.2,53.17,0.14
2,Quke,m,n,0,73.04,56.4,0.18
2,Quke,m,n,0,52.61,25.17,0.15
2,Quke,m,n,0,70.73,37.53,0.15
2,Quke,m,n,0,78.8,33.18,0.16
2,Quke,m,n,0,46.19,16.61,0.11
2,Quke,m,n,0,67.01,28.59,0.17
3,Quke,m,n,0,86.62,69.83,0.25
3,Quke,m,n,0,83.3,28.24,0.13
3,Quke,m,n,0,51.26,40.2,0.19
3,Quke,m,n,0,73.41,43.78,0.19
3,Quke,m,n,0,70.96,27.41,0.25
3,Quke,m,n,0,44.77,52.99,0.6
3,Quke,m,n,0,96.45,41.15,0.15
3,Quke,m,n,0,71.7,28.2,0.21
3,Quke,m,n,0,57.64,30.12,0.15
3,Quke,m,n,0,48.13,15.1,0.14
3,Quke,m,n,0,94.23,73.7,0.1
4,Quke,m,s,0,56.66,64.86,0.19
4,Quke,m,s,0,109.4,46.71,0.18
4,Quke,m,s,0,63.09,50.85,0.19
4,Quke,m,s,0,59,49.81,0.17
4,Quke,m,s,0,21.31,64.19,0.21
4,Quke,m,s,0,50.1,47.48,0.21
4,Quke,m,s,0,50.26,44.23,0.27
4,Quke,m,s,0,96.71,23.57,0.14
4,Quke,m,s,0,51.97,42.26,0.15
4,Quke,m,s,0,61,28.65,0.16
5,Quke,l,s,0,61.89,55.63,0.13
5,Quke,l,s,0,68.9,36.26,0.15
5,Quke,l,s,0,105.17,55.5,0.12
5,Quke,l,s,0,95.6,60.68,0.12
5,Quke,l,s,0,21.52,35.8,0.13
5,Quke,l,s,0,29.16,12.34,0.14
5,Quke,l,s,0,67.77,59.48,0.21
