tag,spcode,alt,asp,year,wi,wf
134,Pipo,m,s,2,2,1.5
135,Pipo,m,s,2,2,1.5
136,Abco,l,n,2,2,1.4
137,Abco,l,n,2,2,1.6
138,Abco,l,n,2,2,1.6
140,Abco,l,s,1,2,1.7
141,Abco,l,s,1,2,1.6
142,Cade,l,n,2,2,1.1
143,Cade,l,n,2,2,1.4
144,Cade,l,n,2,2,1.5
145,Cade,l,s,1,2,1.7
146,Cade,l,s,1,2,1
147,Cade,l,s,1,2,1
148,Pipo,l,s,1,2,1.7
149,Pipo,l,s,1,2,1.8
150,Pipo,l,s,1,2,1.9
151,Pipo,l,n,2,2,1.8
152,Pipo,l,n,2,2,1.8
153,Pipo,l,n,2,2,1.8
154,Abco,l,s,2,2,1.4
155,Abco,l,s,2,2,1.3
156,Abco,l,s,2,2,1.4
157,Abco,l,n,1,2,1.7
158,Abco,l,n,1,2,1.8
159,Abco,l,n,1,2,1.8
160,Cade,l,n,1,2,1.3
161,Cade,l,n,1,2,1.6
162,Cade,l,n,1,2,1.5
163,Cade,l,s,2,2,1
164,Cade,l,s,2,2,1.1
165,Cade,l,s,2,2,0.9
166,Pipo,l,n,1,2,1.8
167,Pipo,l,n,1,2,1.75
168,Pipo,l,n,1,2,1.8
169,Pipo,l,s,2,2,1.6
170,Pipo,l,s,2,2,1.7
171,Pipo,l,s,2,2,1.7
172,Abco,h,n,1,2,1.6
173,Abco,h,n,1,2,1.6
174,Abco,h,n,1,2,1.6
175,Abco,h,n,2,2,1.3
176,Abco,h,n,2,2,1.3
177,Abco,h,n,2,2,1.3
178,Cade,h,n,2,2,1
179,Cade,h,n,2,2,0.9
180,Cade,h,n,2,2,1.1
181,Cade,h,n,1,2,1.3
183,Cade,h,n,1,2,1.3
184,Pipo,h,n,2,2,1.2
185,Pipo,h,n,2,2,1.4
186,Pipo,h,n,2,2,1.4
187,Pipo,h,n,1,2,1.6
188,Pipo,h,n,1,2,1.6
189,Pipo,h,n,1,2,1.6
190,Abco,h,s,2,2,1.4
191,Abco,h,s,2,2,1.6
192,Abco,h,s,2,2,1.4
193,Abco,h,s,1,2,1.7
194,Abco,h,s,1,2,1.5
195,Abco,h,s,1,2,1.7
196,Cade,h,s,1,2,1.3
197,Cade,h,s,1,2,1.4
198,Cade,h,s,1,2,1.5
199,Cade,h,s,2,2,1.2
200,Cade,h,s,2,2,1.1
201,Cade,h,s,2,2,1.2
202,Pipo,h,s,2,2,1.8
203,Pipo,h,s,2,2,1.7
204,Pipo,h,s,2,2,1.6
205,Pipo,h,s,1,2,1.7
206,Pipo,h,s,1,2,1.7
207,Pipo,h,s,1,2,1.7
