tag,spcode,alt,asp,year,l,w,t
204,Pipo,h,s,2,196.5,35.52,5.35
204,Pipo,h,s,2,172.5,23.43,4.27
204,Pipo,h,s,2,109.23,20.83,2.38
204,Pipo,h,s,2,190,11.05,2.47
204,Pipo,h,s,2,175,10.43,3.78
204,Pipo,h,s,2,179.5,9.51,1.34
204,Pipo,h,s,2,103.46,7.12,3.73
204,Pipo,h,s,2,177,6.54,2.49
204,Pipo,h,s,2,101.19,5.62,2.56
204,Pipo,h,s,2,69.71,1.32,0.59
204,Pipo,h,s,2,30.55,1.32,0.85
204,Pipo,h,s,2,60.36,1.31,0.75
204,Pipo,h,s,2,50.51,1.31,0.77
204,Pipo,h,s,2,23.12,1.22,0.83
204,Pipo,h,s,2,54.77,1,0.86
204,Pipo,h,s,2,14,0.97,0.88
204,Pipo,h,s,2,8.52,0.95,0.92
203,Pipo,h,s,2,156.5,18.29,1.75
203,Pipo,h,s,2,182.5,18.22,3.54
203,Pipo,h,s,2,170,15.45,1.49
203,Pipo,h,s,2,145.59,7.59,2.12
203,Pipo,h,s,2,148.16,7.53,2.89
203,Pipo,h,s,2,167.5,6.44,2.69
203,Pipo,h,s,2,183,5.56,1.78
203,Pipo,h,s,2,27.77,3.9,3.16
203,Pipo,h,s,2,23.46,2.88,2.31
203,Pipo,h,s,2,148.5,1.68,0.91
203,Pipo,h,s,2,22.94,1.58,0.83
203,Pipo,h,s,2,24.68,1.55,0.89
203,Pipo,h,s,2,167,1.53,0.78
203,Pipo,h,s,2,39.55,1.44,0.77
203,Pipo,h,s,2,37.81,1.43,0.75
203,Pipo,h,s,2,7.7,1.42,0.79
203,Pipo,h,s,2,40.68,1.3,1.06
203,Pipo,h,s,2,21.49,1.29,0.64
203,Pipo,h,s,2,146,1.2,0.53
203,Pipo,h,s,2,155,1.16,0.55
203,Pipo,h,s,2,26.73,1.16,0.92
203,Pipo,h,s,2,137.47,1.15,0.62
202,Pipo,h,s,2,179,14.96,1.68
202,Pipo,h,s,2,134.1,10.29,1.74
202,Pipo,h,s,2,186,9.3,1.55
202,Pipo,h,s,2,157,8.32,2.71
202,Pipo,h,s,2,179,6.77,1.24
202,Pipo,h,s,2,190,6.6,1.28
202,Pipo,h,s,2,189.5,5.33,1.07
202,Pipo,h,s,2,101.78,5.11,0.91
202,Pipo,h,s,2,169.5,4.5,1.32
202,Pipo,h,s,2,165.5,3.69,0.7
202,Pipo,h,s,2,151,3.39,1.95
202,Pipo,h,s,2,36.09,1.36,0.65
202,Pipo,h,s,2,100.39,1.29,0.7
202,Pipo,h,s,2,17.02,1.29,0.5
202,Pipo,h,s,2,103.41,1.27,0.75
202,Pipo,h,s,2,19.78,1.24,0.78
201,Cade,h,s,2,32.54,17.75,2.64
201,Cade,h,s,2,33.08,11.52,3.03
201,Cade,h,s,2,38.07,7.32,2.3
201,Cade,h,s,2,41.06,6.47,1.25
201,Cade,h,s,2,17.88,6.25,0.88
201,Cade,h,s,2,6.82,6.25,1.49
201,Cade,h,s,2,13.14,6.09,1.01
201,Cade,h,s,2,19.44,5.12,1.23
201,Cade,h,s,2,14.14,4.87,1.2
201,Cade,h,s,2,16.11,4.51,0.87
201,Cade,h,s,2,16.08,4.39,1.4
201,Cade,h,s,2,14.62,4.17,0.8
201,Cade,h,s,2,12.16,4.17,0.7
201,Cade,h,s,2,11.59,4.17,1.81
201,Cade,h,s,2,14.35,4.13,0.67
201,Cade,h,s,2,10.76,4.12,0.66
201,Cade,h,s,2,5.34,4.01,0.92
201,Cade,h,s,2,9.6,3.94,1.15
201,Cade,h,s,2,8.08,3.87,0.75
201,Cade,h,s,2,7.28,3.78,0.88
201,Cade,h,s,2,11.29,3.73,0.61
201,Cade,h,s,2,7.95,3.69,0.98
201,Cade,h,s,2,32.29,3.68,2.39
201,Cade,h,s,2,12.45,3.63,1.04
201,Cade,h,s,2,5.93,3.58,0.94
201,Cade,h,s,2,6.16,3.55,0.69
201,Cade,h,s,2,11.37,3.49,0.88
201,Cade,h,s,2,13.66,3.47,0.85
201,Cade,h,s,2,7.19,3.47,0.76
201,Cade,h,s,2,9.58,3.42,0.54
201,Cade,h,s,2,10.53,3.41,0.73
201,Cade,h,s,2,11.48,3.4,0.89
201,Cade,h,s,2,8.48,3.38,0.73
201,Cade,h,s,2,9.87,3.36,1.01
201,Cade,h,s,2,6.09,3.35,0.66
201,Cade,h,s,2,6.31,3.32,0.7
201,Cade,h,s,2,9.42,3.3,0.77
201,Cade,h,s,2,33.6,3.29,1.76
201,Cade,h,s,2,20.03,3.25,1.12
201,Cade,h,s,2,5.74,3.24,0.78
201,Cade,h,s,2,15.17,3.09,0.76
201,Cade,h,s,2,8.75,3.09,0.69
201,Cade,h,s,2,8.63,3.05,0.98
201,Cade,h,s,2,6.13,3.05,0.88
201,Cade,h,s,2,8.51,3,1.05
201,Cade,h,s,2,5.92,3,0.87
201,Cade,h,s,2,6.3,2.95,0.93
201,Cade,h,s,2,7.56,2.93,1
201,Cade,h,s,2,8.2,2.92,0.79
201,Cade,h,s,2,5.97,2.91,0.74
201,Cade,h,s,2,4.85,2.91,0.42
201,Cade,h,s,2,6.55,2.9,0.61
201,Cade,h,s,2,13.44,2.88,0.65
201,Cade,h,s,2,11.71,2.88,0.7
201,Cade,h,s,2,8.08,2.88,0.73
201,Cade,h,s,2,7.81,2.85,0.98
201,Cade,h,s,2,7.81,2.85,0.76
201,Cade,h,s,2,8.24,2.84,0.66
201,Cade,h,s,2,9.81,2.83,0.71
201,Cade,h,s,2,6.91,2.79,1.02
201,Cade,h,s,2,6.31,2.78,0.84
201,Cade,h,s,2,4.82,2.78,0.88
