variable,type ,units,description
tag,string,,decomposition bag identifier
spcode,string,,4 letter code uniquely identifying single species 
alt,string,,altitude of decomposition site
asp,string,,aspect of decomposition site (N or S)
year,numerical,,"0, 1 or 2, depending on whether it corresponds to initial measurement (0), or the year of decomposition"
wi,numerical,g,initial weight of the sample 
wf,numerical,g,final weight of the sample 
decomp_ratio,numerical,,"ratio between final and initial weight, wf/wi"
