"Plot Title: 1282996 "
"#","Time, GMT-05:00","K-Type, °C","Started","Button Down","Button Up","Host Connected","Stopped","End Of File"
1,05/26/15 12:04:38.208 PM,23.98,Logged,,,,,
2,05/26/15 12:04:39.208 PM,23.98,,,,,,
3,05/26/15 12:04:40.208 PM,23.98,,,,,,
4,05/26/15 12:04:41.208 PM,23.98,,,,,,
5,05/26/15 12:04:42.208 PM,23.98,,,,,,
6,05/26/15 12:04:43.208 PM,23.98,,,,,,
7,05/26/15 12:04:44.208 PM,23.98,,,,,,
8,05/26/15 12:04:45.208 PM,23.98,,,,,,
9,05/26/15 12:04:46.208 PM,23.98,,,,,,
10,05/26/15 12:04:47.208 PM,23.98,,,,,,
11,05/26/15 12:04:48.208 PM,23.98,,,,,,
12,05/26/15 12:04:49.208 PM,23.98,,,,,,
13,05/26/15 12:04:50.208 PM,23.98,,,,,,
14,05/26/15 12:04:51.208 PM,23.98,,,,,,
15,05/26/15 12:04:52.208 PM,23.98,,,,,,
16,05/26/15 12:04:53.208 PM,23.98,,,,,,
17,05/26/15 12:04:54.208 PM,23.98,,,,,,
18,05/26/15 12:04:55.208 PM,23.98,,,,,,
19,05/26/15 12:04:56.208 PM,23.98,,,,,,
20,05/26/15 12:04:57.208 PM,23.98,,,,,,
21,05/26/15 12:04:58.208 PM,23.98,,,,,,
22,05/26/15 12:04:59.208 PM,23.98,,,,,,
23,05/26/15 12:05:00.208 PM,23.98,,,,,,
24,05/26/15 12:05:01.208 PM,24.31,,,,,,
25,05/26/15 12:05:02.208 PM,23.98,,,,,,
26,05/26/15 12:05:03.208 PM,23.98,,,,,,
27,05/26/15 12:05:04.208 PM,23.98,,,,,,
28,05/26/15 12:05:05.208 PM,24.31,,,,,,
29,05/26/15 12:05:06.208 PM,24.31,,,,,,
30,05/26/15 12:05:07.208 PM,24.31,,,,,,
31,05/26/15 12:05:08.208 PM,23.98,,,,,,
32,05/26/15 12:05:09.208 PM,24.31,,,,,,
33,05/26/15 12:05:10.208 PM,23.98,,,,,,
34,05/26/15 12:05:11.208 PM,24.31,,,,,,
35,05/26/15 12:05:12.208 PM,23.98,,,,,,
36,05/26/15 12:05:13.208 PM,23.98,,,,,,
37,05/26/15 12:05:14.208 PM,23.98,,,,,,
38,05/26/15 12:05:15.208 PM,23.98,,,,,,
39,05/26/15 12:05:16.208 PM,24.31,,,,,,
40,05/26/15 12:05:17.208 PM,24.31,,,,,,
41,05/26/15 12:05:18.208 PM,23.98,,,,,,
42,05/26/15 12:05:19.208 PM,23.98,,,,,,
43,05/26/15 12:05:20.208 PM,23.98,,,,,,
44,05/26/15 12:05:21.208 PM,23.98,,,,,,
45,05/26/15 12:05:22.208 PM,24.31,,,,,,
46,05/26/15 12:05:23.208 PM,23.98,,,,,,
