"Plot Title: 1283020 "
"#","Time, GMT-05:00","K-Type, °C","Started","Button Down","Button Up","Host Connected","Stopped","End Of File"
1,05/26/15 10:54:45.888 AM,21.62,Logged,,,,,
2,05/26/15 10:54:46.888 AM,21.62,,,,,,
3,05/26/15 10:54:47.888 AM,21.62,,,,,,
4,05/26/15 10:54:48.888 AM,21.62,,,,,,
5,05/26/15 10:54:49.888 AM,21.62,,,,,,
6,05/26/15 10:54:50.888 AM,21.62,,,,,,
7,05/26/15 10:54:51.888 AM,21.62,,,,,,
8,05/26/15 10:54:52.888 AM,21.62,,,,,,
9,05/26/15 10:54:53.888 AM,21.62,,,,,,
10,05/26/15 10:54:54.888 AM,21.62,,,,,,
11,05/26/15 10:54:55.888 AM,21.62,,,,,,
12,05/26/15 10:54:56.888 AM,21.62,,,,,,
13,05/26/15 10:54:57.888 AM,21.62,,,,,,
14,05/26/15 10:54:58.888 AM,21.62,,,,,,
15,05/26/15 10:54:59.888 AM,21.62,,,,,,
16,05/26/15 10:55:00.888 AM,21.62,,,,,,
17,05/26/15 10:55:01.888 AM,21.96,,,,,,
18,05/26/15 10:55:02.888 AM,21.62,,,,,,
19,05/26/15 10:55:03.888 AM,21.62,,,,,,
20,05/26/15 10:55:04.888 AM,21.62,,,,,,
21,05/26/15 10:55:05.888 AM,21.62,,,,,,
22,05/26/15 10:55:06.888 AM,21.62,,,,,,
23,05/26/15 10:55:07.888 AM,21.62,,,,,,
24,05/26/15 10:55:08.888 AM,21.62,,,,,,
25,05/26/15 10:55:09.888 AM,21.62,,,,,,
26,05/26/15 10:55:10.888 AM,21.62,,,,,,
27,05/26/15 10:55:11.888 AM,21.96,,,,,,
28,05/26/15 10:55:12.888 AM,21.62,,,,,,
29,05/26/15 10:55:13.888 AM,21.62,,,,,,
30,05/26/15 10:55:14.888 AM,21.62,,,,,,
31,05/26/15 10:55:15.888 AM,21.62,,,,,,
32,05/26/15 10:55:16.888 AM,21.62,,,,,,
33,05/26/15 10:55:17.888 AM,21.62,,,,,,
34,05/26/15 10:55:18.888 AM,21.62,,,,,,
35,05/26/15 10:55:19.888 AM,21.62,,,,,,
36,05/26/15 10:55:20.888 AM,21.62,,,,,,
37,05/26/15 10:55:21.888 AM,21.62,,,,,,
38,05/26/15 10:55:22.888 AM,21.62,,,,,,
39,05/26/15 10:55:23.888 AM,21.62,,,,,,
40,05/26/15 10:55:24.888 AM,21.62,,,,,,
41,05/26/15 10:55:25.888 AM,21.62,,,,,,
42,05/26/15 10:55:26.888 AM,21.62,,,,,,
43,05/26/15 10:55:27.888 AM,21.62,,,,,,
