"Plot Title: 1253389 "
"#","Time, GMT-05:00","K-Type, °C","Started","Button Down","Button Up","Host Connected","Stopped","End Of File"
1,05/26/15 12:04:05.311 PM,23.98,Logged,,,,,
2,05/26/15 12:04:06.311 PM,23.64,,,,,,
3,05/26/15 12:04:07.311 PM,23.64,,,,,,
4,05/26/15 12:04:08.311 PM,23.64,,,,,,
5,05/26/15 12:04:09.311 PM,23.64,,,,,,
6,05/26/15 12:04:10.311 PM,23.64,,,,,,
7,05/26/15 12:04:11.311 PM,23.64,,,,,,
8,05/26/15 12:04:12.311 PM,23.64,,,,,,
9,05/26/15 12:04:13.311 PM,23.64,,,,,,
10,05/26/15 12:04:14.311 PM,23.64,,,,,,
11,05/26/15 12:04:15.311 PM,23.64,,,,,,
12,05/26/15 12:04:16.311 PM,23.64,,,,,,
13,05/26/15 12:04:17.311 PM,23.64,,,,,,
14,05/26/15 12:04:18.311 PM,23.64,,,,,,
15,05/26/15 12:04:19.311 PM,23.98,,,,,,
16,05/26/15 12:04:20.311 PM,23.98,,,,,,
17,05/26/15 12:04:21.311 PM,23.64,,,,,,
18,05/26/15 12:04:22 PM,,,Logged,,,,
19,05/26/15 12:04:22.311 PM,23.98,,,,,,
20,05/26/15 12:04:23.311 PM,23.64,,,,,,
21,05/26/15 12:04:24.311 PM,23.98,,,,,,
22,05/26/15 12:04:25 PM,,,,Logged,,,
23,05/26/15 12:04:25.311 PM,23.98,,,,,,
24,05/26/15 12:04:26.311 PM,23.98,,,,,,
25,05/26/15 12:04:27.311 PM,23.98,,,,,,
26,05/26/15 12:04:28.311 PM,23.98,,,,,,
27,05/26/15 12:04:29.311 PM,23.64,,,,,,
28,05/26/15 12:04:30.311 PM,23.98,,,,,,
29,05/26/15 12:04:31.311 PM,23.98,,,,,,
30,05/26/15 12:04:32.311 PM,23.98,,,,,,
31,05/26/15 12:04:33.311 PM,23.98,,,,,,
32,05/26/15 12:04:34.311 PM,23.64,,,,,,
33,05/26/15 12:04:35.311 PM,23.98,,,,,,
34,05/26/15 12:04:36.311 PM,23.98,,,,,,
35,05/26/15 12:04:37.311 PM,23.98,,,,,,
36,05/26/15 12:04:38.311 PM,23.98,,,,,,
37,05/26/15 12:04:39.311 PM,23.98,,,,,,
38,05/26/15 12:04:40.311 PM,23.98,,,,,,
39,05/26/15 12:04:41.311 PM,23.98,,,,,,
40,05/26/15 12:04:42.311 PM,23.98,,,,,,
41,05/26/15 12:04:43.311 PM,23.98,,,,,,
42,05/26/15 12:04:44.311 PM,23.98,,,,,,
43,05/26/15 12:04:45.311 PM,23.98,,,,,,
44,05/26/15 12:04:46.311 PM,23.98,,,,,,
45,05/26/15 12:04:47.311 PM,23.98,,,,,,
46,05/26/15 12:04:48.311 PM,23.98,,,,,,
47,05/26/15 12:04:49.311 PM,23.98,,,,,,
48,05/26/15 12:04:50.311 PM,23.98,,,,,,
49,05/26/15 12:04:51.311 PM,23.98,,,,,,
50,05/26/15 12:04:52.311 PM,23.98,,,,,,
51,05/26/15 12:04:53.311 PM,23.98,,,,,,
52,05/26/15 12:04:54.311 PM,23.98,,,,,,
53,05/26/15 12:04:55.311 PM,23.98,,,,,,
54,05/26/15 12:04:56.311 PM,23.98,,,,,,
55,05/26/15 12:04:57.311 PM,23.98,,,,,,
56,05/26/15 12:04:58.311 PM,23.98,,,,,,
57,05/26/15 12:04:59.311 PM,23.98,,,,,,
58,05/26/15 12:05:00.311 PM,23.98,,,,,,
59,05/26/15 12:05:01.311 PM,23.98,,,,,,
60,05/26/15 12:05:02.311 PM,23.98,,,,,,
61,05/26/15 12:05:03.311 PM,23.98,,,,,,
62,05/26/15 12:05:04.311 PM,23.98,,,,,,
63,05/26/15 12:05:05.311 PM,23.98,,,,,,
64,05/26/15 12:05:06.311 PM,23.98,,,,,,
65,05/26/15 12:05:07.311 PM,23.98,,,,,,
66,05/26/15 12:05:08.311 PM,23.98,,,,,,
67,05/26/15 12:05:09.311 PM,23.98,,,,,,
68,05/26/15 12:05:10.311 PM,23.98,,,,,,
69,05/26/15 12:05:11.311 PM,23.98,,,,,,
70,05/26/15 12:05:12.311 PM,23.98,,,,,,
71,05/26/15 12:05:13.311 PM,23.98,,,,,,
72,05/26/15 12:05:14.311 PM,23.98,,,,,,
73,05/26/15 12:05:15.311 PM,23.98,,,,,,
74,05/26/15 12:05:16.311 PM,23.98,,,,,,
75,05/26/15 12:05:17.311 PM,23.98,,,,,,
76,05/26/15 12:05:18.311 PM,23.98,,,,,,
77,05/26/15 12:05:19.311 PM,23.98,,,,,,
78,05/26/15 12:05:20.311 PM,23.98,,,,,,
79,05/26/15 12:05:21.311 PM,23.98,,,,,,
80,05/26/15 12:05:22.311 PM,23.98,,,,,,
81,05/26/15 12:05:23.311 PM,23.98,,,,,,
82,05/26/15 12:05:24.311 PM,23.98,,,,,,
83,05/26/15 12:05:25.311 PM,23.98,,,,,,
84,05/26/15 12:05:26.311 PM,23.98,,,,,,
85,05/26/15 12:05:27.311 PM,23.98,,,,,,
86,05/26/15 12:05:28.311 PM,23.98,,,,,,
87,05/26/15 12:05:29.311 PM,23.98,,,,,,
88,05/26/15 12:05:30.311 PM,23.98,,,,,,
89,05/26/15 12:05:31.311 PM,23.98,,,,,,
90,05/26/15 12:05:32.311 PM,23.98,,,,,,
91,05/26/15 12:05:33.311 PM,23.98,,,,,,
92,05/26/15 12:05:34.311 PM,23.98,,,,,,
93,05/26/15 12:05:35.311 PM,23.98,,,,,,
94,05/26/15 12:05:36.311 PM,23.98,,,,,,
95,05/26/15 12:05:37.311 PM,23.98,,,,,,
96,05/26/15 12:05:38.311 PM,23.98,,,,,,
97,05/26/15 12:05:39.311 PM,24.31,,,,,,
98,05/26/15 12:05:40.311 PM,23.98,,,,,,
99,05/26/15 12:05:41.311 PM,23.98,,,,,,
