"Plot Title: Experiment "
"#","Time, GMT-05:00","K-Type, °C","Started","Host Connected","Stopped","End Of File"
1,07/07/16 10:45:23.235 AM,29.67,Logged,,,
2,07/07/16 10:45:24.235 AM,29.34,,,,
3,07/07/16 10:45:25.235 AM,29.34,,,,
4,07/07/16 10:45:26.235 AM,29.67,,,,
5,07/07/16 10:45:27.235 AM,29.34,,,,
6,07/07/16 10:45:28.235 AM,29.67,,,,
7,07/07/16 10:45:29.235 AM,29.34,,,,
8,07/07/16 10:45:30.235 AM,29.34,,,,
9,07/07/16 10:45:31.235 AM,29.34,,,,
10,07/07/16 10:45:32.235 AM,29.34,,,,
11,07/07/16 10:45:33.235 AM,29.67,,,,
12,07/07/16 10:45:34.235 AM,29.67,,,,
13,07/07/16 10:45:35.235 AM,29.67,,,,
14,07/07/16 10:45:36.235 AM,29.34,,,,
15,07/07/16 10:45:37.235 AM,29.34,,,,
16,07/07/16 10:45:38.235 AM,29.34,,,,
17,07/07/16 10:45:39.235 AM,29.34,,,,
18,07/07/16 10:45:40.235 AM,29.34,,,,
19,07/07/16 10:45:41.235 AM,29.67,,,,
20,07/07/16 10:45:42.235 AM,29.34,,,,
21,07/07/16 10:45:43.235 AM,29.34,,,,
22,07/07/16 10:45:44.235 AM,29.34,,,,
23,07/07/16 10:45:45.235 AM,29.34,,,,
24,07/07/16 10:45:46.235 AM,29.34,,,,
25,07/07/16 10:45:47.235 AM,29.34,,,,
26,07/07/16 10:45:48.235 AM,29.34,,,,
27,07/07/16 10:45:49.235 AM,29.67,,,,
28,07/07/16 10:45:50.235 AM,29.67,,,,
29,07/07/16 10:45:51.235 AM,29.67,,,,
30,07/07/16 10:45:52.235 AM,29.67,,,,
31,07/07/16 10:45:53.235 AM,29.34,,,,
32,07/07/16 10:45:54.235 AM,29.34,,,,
33,07/07/16 10:45:55.235 AM,29.34,,,,
34,07/07/16 10:45:56.235 AM,29.34,,,,
35,07/07/16 10:45:57.235 AM,29.67,,,,
36,07/07/16 10:45:58.235 AM,29.34,,,,
37,07/07/16 10:45:59.235 AM,29.34,,,,
38,07/07/16 10:46:00.235 AM,29.34,,,,
39,07/07/16 10:46:01.235 AM,29.34,,,,
40,07/07/16 10:46:02.235 AM,29.34,,,,
41,07/07/16 10:46:03.235 AM,29.34,,,,
42,07/07/16 10:46:04.235 AM,29.34,,,,
43,07/07/16 10:46:05.235 AM,29.34,,,,
44,07/07/16 10:46:06.235 AM,29.34,,,,
45,07/07/16 10:46:07.235 AM,29.67,,,,
46,07/07/16 10:46:08.235 AM,29.34,,,,
47,07/07/16 10:46:09.235 AM,29.34,,,,
48,07/07/16 10:46:10.235 AM,29.34,,,,
49,07/07/16 10:46:11.235 AM,29.34,,,,
50,07/07/16 10:46:12.235 AM,29.67,,,,
51,07/07/16 10:46:13.235 AM,29.34,,,,
52,07/07/16 10:46:14.235 AM,29.34,,,,
53,07/07/16 10:46:15.235 AM,29.34,,,,
54,07/07/16 10:46:16.235 AM,29.34,,,,
55,07/07/16 10:46:17.235 AM,29.34,,,,
56,07/07/16 10:46:18.235 AM,29.34,,,,
57,07/07/16 10:46:19.235 AM,29.34,,,,
58,07/07/16 10:46:20.235 AM,29.34,,,,
59,07/07/16 10:46:21.235 AM,29.34,,,,
